repo_name,stars
PrimeIntellect-ai/prime-agent,171.0
firecrawl/anydoc,108.0
mattpocock/skills,71.0
diegosouzapw/OmniRoute,58.0
cloudflare/computer,51.0
addyosmani/agent-skills,50.0
floci-io/floci,49.0
virgiliojr94/book-to-skill,46.0
brightdata/cli,45.0
cloudflare/cloudflare-os,41.0
FareedKhan-dev/kimi-k3-in-c,39.0
pranshuparmar/witr,38.0
block/buzz,38.0
talivia-group/talivia,37.0
DietrichGebert/ponytail,37.0
obra/superpowers,36.0
xoreaxeaxeax/asm-hall-of-shame,34.0
denoland/celld,34.0
ronaldo-avalos/Maya,34.0
Panniantong/Agent-Reach,33.0
firecrawl/firecrawl,31.0
