repo_name,stars
langchain-ai/openwiki,22.0
asgeirtj/system_prompts_leaks,13.0
openai/codex-plugin-cc,12.0
Trystan-SA/claude-design-system-prompt,10.0
Zackriya-Solutions/meetily,10.0
JuliusBrussee/caveman,9.0
DietrichGebert/ponytail,9.0
teamchong/pxpipe,9.0
k1tbyte/Wand-Enhancer,8.0
calesthio/OpenMontage,8.0
arsLan4k1390/Cherrygram,8.0
usestrix/strix,7.0
davidondrej/skills,7.0
NousResearch/hermes-agent,7.0
MadsLorentzen/ai-job-search,7.0
alibaba/page-agent,6.0
elder-plinius/T3MP3ST,6.0
nextlevelbuilder/ui-ux-pro-max-skill,6.0
addyosmani/agent-skills,6.0
SummitGnatDirect/zapret-discord-youtube,6.0
diegosouzapw/OmniRoute,6.0
facebook/astryx,5.0
bradautomates/claude-video,5.0
ruvnet/RuView,5.0
firecrawl/firecrawl,5.0
Graphify-Labs/graphify,5.0
RootRuntime/Discord-Nitro-Generator,5.0
obra/superpowers,5.0
Leonxlnx/taste-skill,5.0
codecrafters-io/build-your-own-x,5.0
anomalyco/opencode,4.0
Z4nzu/hackingtool,4.0
steipete/CodexBar,4.0
microsoft/SkillOpt,4.0
Dz2500/humata-ai-unlock-tool,4.0
ivandso25/microsoft-project-activation-toolbox,4.0
ammaarreshi/Generals-Mac-iOS-iPad,4.0
Stalkeroestudio76/CCleaner-PRO,4.0
cfpatassoust/glarysoft-file-recovery-toolkit,4.0
Panniantong/Agent-Reach,4.0
Himanshu00888/inventoria-patched-release-tools,4.0
ZhuLinsen/daily_stock_analysis,4.0
affaan-m/ECC,4.0
mattpocock/skills,4.0
harvard-edge/cs249r_book,4.0
Augani/dory,4.0
xbtlin/ai-berkshire,4.0
DarkZynoid/driver-navigator-navkit-375,3.0
trimstray/the-book-of-secret-knowledge,3.0
multica-ai/andrej-karpathy-skills,3.0
