repo_name,stars
pewdiepie-archdaemon/odysseus,175.0
NousResearch/hermes-agent,100.0
anthropics/defending-code-reference-harness,87.0
Leonxlnx/taste-skill,56.0
chopratejas/headroom,52.0
colbymchenry/codegraph,52.0
OpenBMB/VoxCPM,50.0
alibaba/open-code-review,49.0
safishamsi/graphify,47.0
microsoft/pg_durable,47.0
multica-ai/andrej-karpathy-skills,46.0
obra/superpowers,45.0
farion1231/cc-switch,45.0
Lum1104/Understand-Anything,43.0
mattpocock/skills,42.0
microsoft/markitdown,42.0
lfnovo/open-notebook,40.0
affaan-m/ECC,40.0
BigPizzaV3/CodexPlusPlus,33.0
nexu-io/html-video,32.0
mvanhorn/last30days-skill,32.0
666ghj/MiroFish,31.0
unicity-astrid/astrid,30.0
CopilotKit/CopilotKit,30.0
