repo_name,stars
msitarzewski/agency-agents,47.0
addyosmani/agent-skills,41.0
apple/container,34.0
harry0703/MoneyPrinterTurbo,30.0
phuryn/pm-skills,25.0
archiveakatsukibasin/Windows-Activator,21.0
NousResearch/hermes-agent,21.0
chopratejas/headroom,21.0
pewdiepie-archdaemon/odysseus,20.0
affaan-m/ECC,20.0
mvanhorn/last30days-skill,18.0
Leonxlnx/taste-skill,17.0
microsoft/markitdown,17.0
elder-plinius/CL4R1T4S,15.0
PoliticianEncoder/WallpaperDownloader-Version-Pro-2,15.0
obra/superpowers,15.0
safishamsi/graphify,14.0
yikart/AiToEarn,13.0
nextlevelbuilder/ui-ux-pro-max-skill,13.0
farion1231/cc-switch,13.0
Egonex-AI/Understand-Anything,12.0
shadcn/improve,12.0
FareedKhan-dev/train-llm-from-scratch,12.0
refactoringhq/tolaria,12.0
XiaomiMiMo/MiMo-Code,12.0
colbymchenry/codegraph,12.0
ruvnet/RuView,11.0
mattpocock/skills,10.0
TriangleTyrant/MS,10.0
google/skills,9.0
PowerChampion/Voicemod-Pro-Crack-2026,9.0
Panniantong/Agent-Reach,9.0
codecrafters-io/build-your-own-x,9.0
diffusionstudio/lottie,9.0
tashfeenahmed/freellmapi,9.0
pbakaus/impeccable,9.0
x1xhlol/system-prompts-and-models-of-ai-tools,9.0
MSNightmare/RoguePlanet,9.0
santifer/career-ops,8.0
maziyarpanahi/openmed,8.0
RyanCodrai/turbovec,8.0
extend-hq/ui,8.0
philipl/pifs,8.0
SightGeckoSignify/Microsoft,8.0
ZhuLinsen/daily_stock_analysis,8.0
FiberFletcherScheme/MS,8.0
JuliusBrussee/caveman,8.0
GorvGoyl/Clone-Wars,7.0
lfnovo/open-notebook,7.0
hugohe3/ppt-master,7.0
