repo_name,stars
pewdiepie-archdaemon/odysseus,170.0
mvanhorn/last30days-skill,164.0
RyanCodrai/turbovec,107.0
Leonxlnx/taste-skill,89.0
roboflow/supervision,87.0
safishamsi/graphify,83.0
mattpocock/skills,81.0
alibaba/open-code-review,81.0
chopratejas/headroom,79.0
NousResearch/hermes-agent,69.0
multica-ai/andrej-karpathy-skills,69.0
microsoft/markitdown,63.0
Panniantong/Agent-Reach,54.0
obra/superpowers,50.0
XingYu-Zhong/DeepSeek-GUI,49.0
lfnovo/open-notebook,49.0
Lum1104/Understand-Anything,49.0
google/skills,48.0
affaan-m/ECC,48.0
farion1231/cc-switch,48.0
harry0703/MoneyPrinterTurbo,45.0
colbymchenry/codegraph,44.0
anthropics/defending-code-reference-harness,44.0
github/spec-kit,43.0
Crosstalk-Solutions/project-nomad,42.0
santifer/career-ops,40.0
CopilotKit/CopilotKit,37.0
nexu-io/open-design,37.0
Renhuai123/ziwei-doushu,34.0
rohitg00/ai-engineering-from-scratch,33.0
devenjarvis/lathe,32.0
hyhmrright/brooks-lint,31.0
DigitalPlatDev/FreeDomain,31.0
aaif-goose/goose,30.0
firecrawl/firecrawl,30.0
ruvnet/RuView,30.0
NoopApp/noop,29.0
GyulyVGC/sniffnet,28.0
V0id-v2/Void-Tools-v2.0,28.0
heygen-com/hyperframes,27.0
nextlevelbuilder/ui-ux-pro-max-skill,27.0
AIEraDev/Clypra,27.0
anthropics/skills,27.0
BigPizzaV3/CodexPlusPlus,27.0
tashfeenahmed/freellmapi,27.0
itsyebekhe/nahan,25.0
alchaincyf/huashu-design,25.0
garrytan/gstack,25.0
Imbad0202/academic-research-skills,25.0
FlamingoFind/ExitLag-Unlimited,25.0
