repo_name,stars
Lum1104/Understand-Anything,133.0
affaan-m/ECC,79.0
Leonxlnx/taste-skill,75.0
colbymchenry/codegraph,68.0
rohitg00/ai-engineering-from-scratch,66.0
multica-ai/andrej-karpathy-skills,59.0
DigitalPlatDev/FreeDomain,56.0
esengine/DeepSeek-Reasonix,43.0
microsoft/Webwright,43.0
mattpocock/skills,43.0
NousResearch/hermes-agent,42.0
obra/superpowers,42.0
anthropics/knowledge-work-plugins,39.0
dinkmededrussia/Cap-Cut-Pro-Version-2026,38.0
byoungd/English-level-up-tips,38.0
avaoqkyk1284130/Roblox-Collection-Executor-PC-2026-Version,33.0
farion1231/cc-switch,32.0
onionking214/Skeet-Gamesense-2026,31.0
joeseesun/wechat-radar,30.0
garrytan/gstack,30.0
harry0703/MoneyPrinterTurbo,28.0
dorukayuceyewexe127752/Rust-External-V3-2026,26.0
dredgefabiola5840/Roblox-Collection-Executor-ForPC-2026,25.0
NangoHQ/nango,25.0
hardikpandya/stop-slop,25.0
Axorax/awesome-free-apps,25.0
russellromney/honker,24.0
sidselgeiszler1176/GTA-V-Panel-2026-latest,24.0
tinyhumansai/openhuman,24.0
matildagrahamgraham5131/FN-Panel-D-M-A-2026,24.0
lacykorpela54457330369/kms-pico-latest-may-2026,23.0
nexu-io/open-design,23.0
matilderehowapufu928449/Valo-Vision-V2-2026,22.0
Imbad0202/academic-research-skills,22.0
brulagi731069/Warzone-2026-DMA-Version,22.0
iguds3564300/kmspico-v27,22.0
sherroncabeceira71310196131/adobe-premiere-video-engine-26,21.0
perplexityai/bumblebee,21.0
safishamsi/graphify,21.0
anthropics/skills,21.0
barrettkaydence8412210/kms-pico-latest-april-2026,21.0
earendil-works/pi,21.0
ruvnet/RuView,20.0
martawewqc7692530/MineCraft-Collection-C-Client,20.0
sofiafvbiub2935447/FL-Product-Version-25,20.0
cortneymanieri50677828029/RBX-Executor-Version-2026,19.0
firecrawl/firecrawl,18.0
mukul975/Anthropic-Cybersecurity-Skills,18.0
microsoft/SkillOpt,18.0
berfairy440/Legend-Warzone-Undetected-2026,18.0
