repo_name,stars
unicity-astrid/book,22.0
apple/container,21.0
calesthio/OpenMontage,21.0
baidu/Unlimited-OCR,19.0
DietrichGebert/ponytail,14.0
unicity-astrid/handbook,14.0
headroomlabs-ai/headroom,8.0
obra/superpowers,8.0
edofox19/MetaLayer,7.0
mukul975/Anthropic-Cybersecurity-Skills,7.0
DeusData/codebase-memory-mcp,7.0
penpot/penpot,6.0
topoteretes/cognee,6.0
jamiepine/voicebox,5.0
StarTrail-org/PixelRAG,5.0
unicity-astrid/astrid,5.0
shanraisshan/claude-code-best-practice,5.0
zhaoxuya520/reverse-skill,5.0
NVIDIA/SkillSpector,5.0
Panniantong/Agent-Reach,5.0
NousResearch/hermes-agent,5.0
farion1231/cc-switch,5.0
microsoft/markitdown,5.0
garrytan/gstack,5.0
ZhuLinsen/daily_stock_analysis,5.0
Egonex-AI/Understand-Anything,4.0
palmier-io/palmier-pro,4.0
multica-ai/andrej-karpathy-skills,4.0
kepano/obsidian-skills,4.0
stablyai/orca,4.0
BuilderIO/agent-native,4.0
addyosmani/agent-skills,4.0
pulsewarriorrank/Lossless-Scaling-Download-2026,4.0
pbakaus/impeccable,4.0
ShadowHackrs/gmail-account-creator,4.0
bytedance/deer-flow,4.0
we9lii/007-First-Light-Trainer-And-Optimizer_v_2,4.0
JCodesMore/ai-website-cloner-template,3.0
harry0703/MoneyPrinterTurbo,3.0
sindresorhus/awesome,3.0
TauricResearch/TradingAgents,3.0
Yuan1z0825/nature-skills,3.0
shiyu-coder/Kronos,3.0
safishamsi/graphify,3.0
datawhalechina/hello-agents,3.0
xbtlin/ai-berkshire,3.0
samasante/liquid-glass,3.0
nexu-io/open-design,3.0
bholmesdev/hubble.md,3.0
colbymchenry/codegraph,3.0
