repo_name,stars
shadcn-ui/lint,70.0
debpalash/VoiceStudio,67.0
JustVugg/colibri,66.0
alibaba/open-code-review,62.0
cloudflare/security-audit-skill,56.0
bilawalsidhu/gods-eye-view,48.0
tt-a1i/archify,44.0
bojieli/ai-infra-book,43.0
deepseek-ai/deepseek-harness,40.0
Anakin-Inc/anakin,38.0
DietrichGebert/ponytail,37.0
TauricResearch/TradingAgents,35.0
TencentCloud/Octop,33.0
ayghri/i-have-adhd,31.0
kruzovic7/ai-data-extractor,30.0
stablyai/orca,29.0
Arindam200/awesome-ai-apps,29.0
Panniantong/Agent-Reach,29.0
ever-co/ever-gauzy,28.0
Mantitup-Org/vista,27.0
abue-ammar/tinycast,27.0
Chuloo/mural,26.0
localsend/localsend,25.0
affaan-m/ECC,24.0
agentverse-os/AgentVerse-OS,24.0
NationalSecurityAgency/ghidra,23.0
google/artemis,21.0
diegosouzapw/OmniRoute,20.0
mattpocock/skills,20.0
fleetbase/fleetbase,20.0
obra/superpowers,19.0
multimodal-art-projection/YuE,18.0
qingjian-team/qingjian,18.0
666ghj/MiroFish,18.0
github/spec-kit,17.0
blader/humanizer,16.0
cathrynlavery/diagram-design,16.0
k1tbyte/Wand-Enhancer,16.0
sindresorhus/awesome,16.0
public-apis/public-apis,16.0
ruvnet/RuView,16.0
firecrawl/firecrawl,16.0
headroomlabs-ai/headroom,16.0
asgeirtj/system_prompts_leaks,15.0
tashfeenahmed/freellmapi,14.0
bojieli/ai-agent-book,14.0
NousResearch/hermes-agent,14.0
heygen-com/hyperframes,14.0
SnailSploit/Claude-Red,14.0
Leonxlnx/taste-skill,13.0
