repo_name,stars
yc-software/qm,5.0
mattpocock/skills,4.0
bashalarmistalt/decimen-optical-transfer,3.0
digimata/quill,3.0
HKUDS/DeepTutor,3.0
AeonLucid/SnapHide,3.0
unicity-aos/aos-ce,2.0
tirth8205/code-review-graph,2.0
massgravel/Microsoft-Activation-Scripts,2.0
stablyai/orca,2.0
diegosouzapw/OmniRoute,2.0
iv-org/invidious,2.0
cwuom/NeriPlayer,2.0
thedotmack/claude-mem,2.0
mokshablr/gander,2.0
nextlevelbuilder/ui-ux-pro-max-skill,2.0
sqliteai/waste,2.0
paperswithbacktest/awesome-systematic-trading,2.0
multica-ai/andrej-karpathy-skills,2.0
Shubhamsaboo/awesome-llm-apps,2.0
openai/codex,2.0
mvanhorn/last30days-skill,2.0
WilonityDev/WilonityLoader,2.0
zen-browser/desktop,1.0
apache/skywalking-banyandb,1.0
agentskills/agentskills,1.0
jqssun/android-titanium-browser,1.0
mjishnu/pypdl,1.0
The-Cool-Coders/Project-Ideas-And-Resources,1.0
OrlovEvgeny/pq,1.0
TYSONMediaGroup/tysonmediagrouporgcomingsoon,1.0
miuuyy/codex-chatgpt-web,1.0
KnockOutEZ/wigolo,1.0
yorukot/superfile,1.0
jy02739244/iori-nav,1.0
AytuncYildizli/relayproof,1.0
wa2c/cifs-documents-provider,1.0
cemu-project/cemu_graphic_packs,1.0
jhao104/proxy_pool,1.0
datawhalechina/hello-agents,1.0
microsoft/VibeVoice,1.0
clacky-ai/openclacky,1.0
swamini10/LeetCode,1.0
Yihsiwei/GetOut360,1.0
danny-avila/LibreChat,1.0
JiahaoLiu2005/2025_E_Challenge,1.0
22507260/AI-PCB-Generator,1.0
googleanalytics/google-analytics-mcp,1.0
Kanaries/graphic-walker,1.0
TechRhino1/children-kindergarten-template,1.0
