repo_name,stars
FlashML-org/FreeToken,8.0
openai/codex,6.0
deepseek-ai/deepseek-harness,6.0
mattpocock/skills,5.0
multica-ai/andrej-karpathy-skills,3.0
Alishahryar1/free-claude-code,2.0
DietrichGebert/ponytail,2.0
metamask-eth/metamask-desktop,2.0
firecrawl/firecrawl,2.0
llm-as-a-verifier/llm-as-a-verifier,2.0
simdjson/simdjson,2.0
awesome-selfhosted/awesome-selfhosted,2.0
hugohe3/ppt-master,2.0
AprilNEA/OpenLogi,2.0
Nutlope/hallmark,2.0
antonisloukis/minimal-github-stats,2.0
Gluesunurture/undetectable-browser-zen,2.0
arvids-unavailable/openGym,2.0
BagelHole/DevOps-Security-Agent-Skills,2.0
jaredrhod/fullstack-agent,2.0
codeman008/Financial_freedom,2.0
localsend/localsend,2.0
usestrix/strix,2.0
openpubkey/opkssh,2.0
addyosmani/agent-skills,2.0
anthropics/claude-code,2.0
stablyai/orca,2.0
JCodesMore/ai-website-cloner-template,2.0
awesome-dsh-plugin/awesome-dsh-plugin,2.0
shy3130/tickflow-stock-panel,2.0
aseprite/aseprite,2.0
malisper/pgrust,1.0
LCYLYM/dsh-plugin-compat-guardian,1.0
axadrn/goilerplate,1.0
DreambigOu/ELI5,1.0
amaricancover-lang/freelance-marketplace,1.0
offa/android-foss,1.0
rust-glancer/rust-glancer,1.0
zhu1090093659/spec_driven_develop,1.0
tsukinaha/tsukimi,1.0
56steve/gitgrave,1.0
CNCStuff/cnc3_fps_patch,1.0
bryanthaboi/gen1recomp,1.0
Untrivial-ai/agent-orchestrator,1.0
Ashlixy17/PCB_lightgraph_Portable,1.0
Gleamlyadome/Hwid-Spoofer-Toolkit,1.0
iAmCorey/Wake,1.0
djhackersdev/bemanitools,1.0
onlyoyrao999/Cloudflare-proxyAPI,1.0
AvalancheAlbatross/midjourney-lab,1.0
