repo_name,today_stars,avg7,accel
st-tech/ppf-contact-solver,27.0,0.5714285714285714,17.181818181818183
cmliu/edgetunnel,30.0,2.4285714285714284,8.75
AndrewPrifer/liquid-dom,38.0,3.4285714285714284,8.580645161290322
google/eng-practices,28.0,3.4285714285714284,6.32258064516129
elementalsouls/Claude-BugHunter,21.0,2.4285714285714284,6.125
presenton/presenton,37.0,5.571428571428571,5.630434782608696
rtk-ai/rtk,26.0,3.857142857142857,5.352941176470588
tinyhumansai/openhuman,52.0,9.571428571428571,4.918918918918919
VoltAgent/awesome-design-md,28.0,5.0,4.666666666666667
Imbad0202/academic-research-skills,50.0,10.142857142857142,4.487179487179487
garrytan/gbrain,20.0,3.7142857142857144,4.242424242424242
Fincept-Corporation/FinceptTerminal,29.0,5.857142857142857,4.229166666666667
Lum1104/Understand-Anything,165.0,38.714285714285715,4.154676258992805
esengine/DeepSeek-Reasonix,24.0,4.857142857142857,4.097560975609756
HKUDS/ViMax,24.0,4.857142857142857,4.097560975609756
nexu-io/open-design,42.0,10.0,3.8181818181818183
supertone-inc/supertonic,21.0,5.0,3.5
88lin/video_vip,20.0,4.857142857142857,3.414634146341464
mukul975/Anthropic-Cybersecurity-Skills,36.0,10.0,3.272727272727273
colbymchenry/codegraph,149.0,45.142857142857146,3.2291021671826625
can1357/oh-my-pi,20.0,5.285714285714286,3.181818181818182
affaan-m/ECC,42.0,12.285714285714286,3.161290322580645
yaojingang/GEOFlow,21.0,5.857142857142857,3.0625
multica-ai/multica,23.0,7.142857142857143,2.8245614035087723
multica-ai/andrej-karpathy-skills,115.0,39.714285714285715,2.824561403508772
simplifaisoul/osiris,25.0,8.142857142857142,2.734375
perplexityai/bumblebee,46.0,15.857142857142858,2.7288135593220337
mattpocock/skills,54.0,18.857142857142858,2.7194244604316546
NousResearch/hermes-agent,53.0,19.0,2.65
rohitg00/ai-engineering-from-scratch,70.0,26.714285714285715,2.5257731958762886
trimstray/the-book-of-secret-knowledge,29.0,11.0,2.4166666666666665
anthropics/claude-plugins-official,67.0,27.428571428571427,2.3567839195979903
farion1231/cc-switch,26.0,11.285714285714286,2.1162790697674416
obra/superpowers,39.0,17.571428571428573,2.0999999999999996
manaflow-ai/cmux,32.0,14.285714285714286,2.0934579439252334
CloakHQ/CloakBrowser,32.0,14.714285714285714,2.0363636363636366
yt-dlp/yt-dlp,20.0,10.142857142857142,1.794871794871795
safishamsi/graphify,24.0,12.714285714285714,1.75
ruvnet/RuView,20.0,11.714285714285714,1.5730337078651686
