repo_name,stars
unicity-aos/capsule-react,10.0
bojieli/ai-agent-book,9.0
unicity-aos/capsule-identity,6.0
diegosouzapw/OmniRoute,5.0
koala73/worldmonitor,4.0
unicity-aos/capsule-memory,4.0
Fei-Away/Codex-Dream-Skin,4.0
mattpocock/skills,4.0
MadsLorentzen/ai-job-search,3.0
moonshine-ai/moonshine,3.0
oblien/openship,3.0
affaan-m/ECC,3.0
UditAkhourii/adhd,2.0
chrislgarry/Apollo-11,2.0
kvcache-ai/ktransformers,2.0
D4Vinci/Scrapling,2.0
JuliusBrussee/caveman,2.0
ywddd/grok-inspection,2.0
unicity-aos/capsule-fs,2.0
rohitg00/ai-engineering-from-scratch,2.0
1jehuang/jcode,2.0
codecrafters-io/build-your-own-x,2.0
MoonshotAI/kimi-code,2.0
JustVugg/colibri,2.0
DeusData/codebase-memory-mcp,2.0
emilkowalski/skills,2.0
iOfficeAI/OfficeCLI,2.0
jamiepine/voicebox,2.0
Canner/WrenAI,2.0
YILS-LIN/short-video-factory,2.0
ayghri/i-have-adhd,2.0
malisper/pgrust,2.0
ElsiKora/NestJS-Crud-Automator,2.0
DietrichGebert/ponytail,2.0
unicity-aos/aos-ce,2.0
topoteretes/cognee,2.0
huxingyi/autoremesher,1.0
MatinSenPai/Aether-GUI,1.0
cube-js/cube,1.0
Luo-Yihong/TDM-R1,1.0
getopenscreen/openscreen,1.0
karem505/claudecodex,1.0
NeKonnnn/Astra-Studio,1.0
ryan4yin/nix-config,1.0
thebuggeddev/football-stadium,1.0
aeron-io/aeron,1.0
VoltAgent/awesome-claude-design,1.0
baidu/Unlimited-OCR,1.0
FossifyOrg/File-Manager,1.0
ZuodaoTech/everyone-can-use-english,1.0
