repo_name,stars
firecrawl/firecrawl,8.0
TencentCloud/TencentDB-Agent-Memory,4.0
diegosouzapw/OmniRoute,4.0
erik-berger350/evga-z12-keys-linux,3.0
firecrawl/pdf-inspector,3.0
zhaoxuya520/reverse-skill,3.0
Jaycheng1103/chatgpt-video-editing-skills,3.0
obra/superpowers,3.0
KKKKhazix/khazix-skills,2.0
esengine/DeepSeek-Reasonix,2.0
malisper/pgrust,2.0
czlonkowski/n8n-mcp,2.0
dimmas893/pos-frontend,2.0
dramaclaw/dramaclaw,2.0
omnigent-ai/omnigent,2.0
ExistenceNewt/deepfake-detection-methods,2.0
voicetreelab/voicetree,2.0
garrytan/gstack,2.0
SimplifyJobs/Summer2027-Internships,2.0
yc-software/qm,2.0
aakk007/RogueCleaner,2.0
JuliusBrussee/caveman,2.0
tw93/Mole,2.0
Graphify-Labs/graphify,2.0
Leonxlnx/taste-skill,2.0
productdevbook/hucre,2.0
k1tbyte/Wand-Enhancer,2.0
emilkowalski/skills,2.0
pbakaus/impeccable,2.0
donnemartin/system-design-primer,2.0
microsoft/generative-ai-for-beginners,2.0
blader/humanizer,2.0
Panniantong/Agent-Reach,2.0
youhunwl/TVAPP,2.0
jaywcjlove/awesome-mac,2.0
xdash/FDE-the-Guidance-Book-of-Forward-Deployed-Engineer,2.0
practical-tutorials/project-based-learning,1.0
steveseguinnin/cleaner,1.0
microsoft/language-server-protocol,1.0
oncologylab/histopia,1.0
Reezy5077/cpp-secure-login-system-v2,1.0
ScorpionLF/design-misc,1.0
DOI-USGS/vulnerability-indicators,1.0
sloga-mcp/sloga-frontend,1.0
python/cpython,1.0
supertone-inc/supertonic,1.0
farahadeeba/UrBLiMP,1.0
Greedeks/GTweak,1.0
BICLab/SpikingBrain2.0,1.0
aprillz/MewUI,1.0
