repo_name,stars
PrimeIntellect-ai/prime-agent,169.0
firecrawl/anydoc,107.0
mattpocock/skills,71.0
diegosouzapw/OmniRoute,58.0
addyosmani/agent-skills,50.0
floci-io/floci,49.0
cloudflare/computer,48.0
virgiliojr94/book-to-skill,46.0
brightdata/cli,45.0
cloudflare/cloudflare-os,40.0
pranshuparmar/witr,38.0
talivia-group/talivia,37.0
block/buzz,37.0
FareedKhan-dev/kimi-k3-in-c,37.0
DietrichGebert/ponytail,37.0
obra/superpowers,36.0
denoland/celld,34.0
xoreaxeaxeax/asm-hall-of-shame,34.0
ronaldo-avalos/Maya,33.0
Panniantong/Agent-Reach,33.0
firecrawl/firecrawl,31.0
K2SOsint/Legendary_OSINT,29.0
andrewyng/openworker,29.0
google/skills,29.0
TencentCloud/TencentDB-Agent-Memory,28.0
rasbt/LLMs-from-scratch,28.0
goauthentik/authentik,27.0
k1tbyte/Wand-Enhancer,26.0
Wyzer-Lang/wyzer,26.0
emilkowalski/skills,24.0
NousResearch/hermes-agent,24.0
pbakaus/impeccable,23.0
herdrdev/herdr,23.0
sindresorhus/awesome,23.0
emiliaprotocol/emilia-protocol,23.0
codecrafters-io/build-your-own-x,23.0
koala73/worldmonitor,22.0
Graphify-Labs/graphify,22.0
yusing/godoxy,22.0
stablyai/orca,22.0
ZhuLinsen/daily_stock_analysis,21.0
anomalyco/opencode,21.0
daved-lab2001o0/adopt-me-roblox-script,21.0
zhaoxuya520/reverse-skill,20.0
AloofLibra/zator,20.0
earendil-works/pi,20.0
n8n-io/n8n,20.0
microsoft/AI-For-Beginners,20.0
666ghj/MiroFish,19.0
google-gemma/gemma-translator,19.0
