repo_name,stars
pewdiepie-archdaemon/odysseus,215.0
NousResearch/hermes-agent,105.0
Leonxlnx/taste-skill,88.0
anthropics/defending-code-reference-harness,82.0
chopratejas/headroom,74.0
affaan-m/ECC,58.0
RyanCodrai/turbovec,56.0
microsoft/markitdown,54.0
Feralphienergy/Lossless-Scaling-Download-2026,49.0
mattpocock/skills,46.0
Brinkinshock/AutoCAD-Activated,45.0
obra/superpowers,45.0
OpenBMB/VoxCPM,44.0
safishamsi/graphify,43.0
colbymchenry/codegraph,42.0
Pyramidkroillustrate/KMS-Tools-Portable-2026,42.0
Panniantong/Agent-Reach,41.0
lfnovo/open-notebook,41.0
nexu-io/open-design,40.0
rohitg00/ai-engineering-from-scratch,40.0
unicity-astrid/astrid,39.0
farion1231/cc-switch,38.0
Lum1104/Understand-Anything,38.0
Sonicapheart/AnyUnlock-Activate,37.0
ParthibanRajasekaran/delivery-intel,35.0
MemPalace/mempalace,34.0
MadsLorentzen/ai-job-search,34.0
alibaba/open-code-review,34.0
Shackletreobey/Soundpad-Crack-2026,33.0
TauricResearch/TradingAgents,33.0
multica-ai/andrej-karpathy-skills,32.0
OpenCut-app/OpenCut,31.0
unicity-astrid/sdk-js,31.0
CopilotKit/CopilotKit,31.0
santifer/career-ops,27.0
QuarkLawmakerBridge/CapCut-Pro,26.0
mvanhorn/last30days-skill,26.0
AIEraDev/Clypra,25.0
byoungd/English-level-up-tips,25.0
PaddlePaddle/PaddleOCR,25.0
XingYu-Zhong/DeepSeek-GUI,25.0
codecrafters-io/build-your-own-x,24.0
PhantomWaveStride/Microsoft-Office-activate,24.0
cpaczek/skylight,24.0
BigPizzaV3/CodexPlusPlus,23.0
helloianneo/ian-xiaohei-illustrations,23.0
666ghj/MiroFish,23.0
nexu-io/html-video,23.0
TapXWorld/ChinaTextbook,22.0
harry0703/MoneyPrinterTurbo,22.0
