repo_name,stars
DietrichGebert/ponytail,202.0
elder-plinius/CL4R1T4S,95.0
iptv-org/iptv,61.0
chopratejas/headroom,41.0
tamnd/kage,35.0
mattpocock/skills,31.0
Panniantong/Agent-Reach,29.0
microsoft/SkillOpt,25.0
obra/superpowers,25.0
NVIDIA/SkillSpector,25.0
HyperionCSharp/Hotmail-Keyauth-Discord-Bot,25.0
addyosmani/agent-skills,24.0
farion1231/cc-switch,23.0
pewdiepie-archdaemon/odysseus,23.0
affaan-m/ECC,21.0
shadcn/improve,20.0
microsoft/markitdown,19.0
apple/container,18.0
codecrafters-io/build-your-own-x,17.0
omnigent-ai/omnigent,17.0
GoogleCloudPlatform/knowledge-catalog,17.0
rohitg00/ai-engineering-from-scratch,17.0
mvanhorn/last30days-skill,16.0
phuryn/pm-skills,16.0
mvpgythdgt/Umbrella-Hwid-utility,16.0
GorvGoyl/Clone-Wars,15.0
Intersectatcover85/Valorant-GUI,15.0
Egonex-AI/Understand-Anything,15.0
NousResearch/hermes-agent,15.0
Leonxlnx/taste-skill,15.0
CaretakerObliterate/Fortnite-Rage,14.0
harry0703/MoneyPrinterTurbo,14.0
firecrawl/firecrawl,14.0
nexu-io/open-design,14.0
pbakaus/impeccable,14.0
lfnovo/open-notebook,14.0
corsairdev/corsair,13.0
colbymchenry/codegraph,12.0
DigitalPlatDev/FreeDomain,12.0
garrytan/gstack,11.0
royalbhati/sqltoerdiagram,11.0
clash-verge-rev/clash-verge-rev,11.0
anomalyco/opencode,11.0
nextlevelbuilder/ui-ux-pro-max-skill,11.0
opendataloader-project/opendataloader-pdf,11.0
multica-ai/andrej-karpathy-skills,11.0
sleep3r/mtproto.zig,11.0
dstotijn/hetty,11.0
labuladong/fucking-algorithm,11.0
akula-atlasair/-zapret-discord-youtube,10.0
