repo_name,stars
JustVugg/colibri,7.0
SmartlyDressedGames/U3-SDK,4.0
wonderwhy-er/DesktopCommanderMCP,4.0
addyosmani/agent-skills,4.0
emilkowalski/skills,4.0
parkergabe33/btc-bot-orchestration-engine,3.0
sindresorhus/awesome,3.0
DigitalPlatDev/FreeDomain,3.0
chordswallowthrust/undress-design,3.0
LineSupportAbide/tgwsproxy,3.0
stablyai/orca,3.0
MadsLorentzen/ai-job-search,3.0
JCodesMore/ai-website-cloner-template,3.0
SpotX-Official/SpotX,2.0
zeux/meshoptimizer,2.0
Shpigford/knockoff,2.0
johnsoncodehk/typescript-native-bridge,2.0
zszz3/agent-session-search,2.0
phuryn/pm-skills,2.0
google/glog,2.0
malisper/pgrust,2.0
apache/httpd,2.0
x4gKing/PasarGuard,2.0
grpc/grpc,2.0
yayuuu/hyprland-scroll-overview,2.0
krahets/hello-algo,2.0
imchine/FinTech-Wallet,2.0
VoltAgent/awesome-design-md,2.0
public-apis/public-apis,2.0
iOfficeAI/AionUi,2.0
OluOlus/ops-agent-controller,2.0
mattpocock/skills,2.0
ahujasid/blender-mcp,2.0
openilink/openilink-hub,2.0
multica-ai/andrej-karpathy-skills,2.0
affaan-m/ECC,2.0
Shubhamsaboo/awesome-llm-apps,2.0
massgravel/Microsoft-Activation-Scripts,2.0
tailscale/tailscale,2.0
vercel-labs/native,2.0
pkgxdev/pkgx,2.0
microsoft/markitdown,2.0
x4gKing/X4G,2.0
chattocorp/chatto,2.0
DietrichGebert/ponytail,2.0
anthropics/claude-code,2.0
altic-dev/FluidVoice,2.0
Suhani-prog-alt/Suhani-prog-alt,1.0
Masterbroplot/dtwnbsom,1.0
nashsu/llm_wiki,1.0
