repo_name,stars
microsoft/markitdown,309.0
harry0703/MoneyPrinterTurbo,284.0
Lum1104/Understand-Anything,161.0
codecrafters-io/build-your-own-x,144.0
NousResearch/hermes-agent,117.0
farion1231/cc-switch,111.0
colbymchenry/codegraph,110.0
Leonxlnx/taste-skill,98.0
multica-ai/andrej-karpathy-skills,96.0
affaan-m/ECC,93.0
mattpocock/skills,92.0
obra/superpowers,83.0
esengine/DeepSeek-Reasonix,81.0
ruvnet/RuView,80.0
Imbad0202/academic-research-skills,76.0
DigitalPlatDev/FreeDomain,74.0
safishamsi/graphify,73.0
anthropics/skills,73.0
OpenBMB/VoxCPM,71.0
rohitg00/ai-engineering-from-scratch,71.0
BigPizzaV3/CodexPlusPlus,64.0
D4Vinci/Scrapling,62.0
boundless-large-model/boundless-world-model,60.0
anthropics/claude-code,58.0
run-llama/liteparse,56.0
sindresorhus/awesome,55.0
FareedKhan-dev/train-llm-from-scratch,55.0
EverMind-AI/EverOS,55.0
byoungd/English-level-up-tips,54.0
microsoft/SkillOpt,54.0
greensock/gsap-skills,51.0
can1357/oh-my-pi,50.0
nexu-io/open-design,49.0
polymaxi2/polymarket-arbitrage-trading-bot,48.0
mukul975/Anthropic-Cybersecurity-Skills,48.0
nextlevelbuilder/ui-ux-pro-max-skill,48.0
Crosstalk-Solutions/project-nomad,45.0
op7418/guizang-social-card-skill,45.0
AnInsomniacy/motrix-next,45.0
hardikpandya/stop-slop,45.0
itsfatduck/optimizerDuck,45.0
open-jarvis/OpenJarvis,44.0
twentyhq/twenty,44.0
AprilNEA/OpenLogi,43.0
TauricResearch/TradingAgents,43.0
firecrawl/firecrawl,42.0
meituan-longcat/LongCat-Video,41.0
EveryInc/compound-engineering-plugin,40.0
reconurge/flowsint,38.0
earendil-works/pi,38.0
ogulcancelik/herdr,38.0
Alishahryar1/free-claude-code,38.0
OpenBMB/PilotDeck,37.0
RyanCodrai/turbovec,36.0
helloianneo/ian-xiaohei-illustrations,36.0
seramo/v2ray-config-modifier,36.0
jmaczan/tiny-vllm,36.0
heygen-com/hyperframes,35.0
next-1688/1688-item-image-optimizer,34.0
notyrjo/AlphaLine,34.0
openclaw/openclaw,34.0
garrytan/gstack,34.0
awesome-selfhosted/awesome-selfhosted,33.0
Yuan1z0825/nature-skills,33.0
revfactory/harness,33.0
op7418/guizang-ppt-skill,32.0
addyosmani/agent-skills,32.0
bia-pain-bache/BPB-Worker-Panel,32.0
shiyu-coder/Kronos,32.0
trimstray/the-book-of-secret-knowledge,32.0
Sophomoresty/gemini-web2api,31.0
VoltAgent/awesome-design-md,31.0
pbakaus/impeccable,30.0
