repo_name,today_stars,avg7,accel
ai-sucks-butt/ai-sucks-butt,37.0,0.0,37.0
groundboxerrespect/Dlls5-auto,33.0,0.0,33.0
SeasonCake/bidking-inference,21.0,0.14285714285714285,18.375
TencentCloud/CubeSandbox,21.0,0.5714285714285714,13.363636363636363
hypit-ai/hypit,28.0,1.2857142857142858,12.25
bojieli/ai-agent-book,34.0,2.0,11.333333333333334
rlaope/oh-my-hermes,21.0,0.8571428571428571,11.307692307692307
alphaXiv/OpenResearch,29.0,1.5714285714285714,11.277777777777779
peetzweg/opendisplay,22.0,1.0,11.0
SnailSploit/Claude-Red,33.0,2.0,11.0
Panniantong/Agent-Reach,55.0,4.142857142857143,10.694444444444443
multimodal-art-projection/YuE,37.0,2.5714285714285716,10.36
Tencent/WeKnora,22.0,1.1428571428571428,10.266666666666667
TencentCloud/Octop,55.0,4.714285714285714,9.625
deepseek-ai/deepseek-harness,64.0,5.714285714285714,9.53191489361702
OpenBMB/VoxCPM,21.0,1.2857142857142858,9.1875
666ghj/MiroFish,32.0,2.5714285714285716,8.959999999999999
alibaba/open-code-review,88.0,8.857142857142858,8.927536231884057
bojieli/ai-infra-book,58.0,6.142857142857143,8.12
Lakr233/vphone-cli,21.0,1.7142857142857142,7.7368421052631575
earendil-works/pi,22.0,1.8571428571428572,7.7
abue-ammar/tinycast,37.0,3.857142857142857,7.617647058823529
asgeirtj/system_prompts_leaks,23.0,2.142857142857143,7.318181818181818
mattpocock/skills,28.0,2.857142857142857,7.2592592592592595
tt-a1i/archify,50.0,6.285714285714286,6.862745098039216
DietrichGebert/ponytail,42.0,5.285714285714286,6.681818181818182
debpalash/VoiceStudio,67.0,9.571428571428571,6.337837837837838
qingjian-team/qingjian,22.0,2.5714285714285716,6.159999999999999
bilawalsidhu/gods-eye-view,43.0,6.857142857142857,5.472727272727273
TauricResearch/TradingAgents,32.0,5.0,5.333333333333333
google/artemis,21.0,3.0,5.25
ayghri/i-have-adhd,28.0,4.428571428571429,5.157894736842105
JustVugg/colibri,53.0,9.428571428571429,5.082191780821917
localsend/localsend,21.0,3.5714285714285716,4.59375
stablyai/orca,22.0,4.142857142857143,4.277777777777778
ever-co/ever-gauzy,20.0,4.0,4.0
cloudflare/security-audit-skill,31.0,8.0,3.4444444444444446
shadcn-ui/lint,30.0,10.0,2.727272727272727
