repo_name,stars
affaan-m/ECC,5.0
openai/codex-security,5.0
Graphify-Labs/graphify,4.0
opengeos/GeoLibre,4.0
AeonLucid/SnapHide,4.0
earendil-works/pi,3.0
virgiliojr94/book-to-skill,3.0
MoonshotAI/Kimi-K3,3.0
DietrichGebert/ponytail,3.0
dimmas893/kasir,3.0
block/buzz,3.0
NanmiCoder/MediaCrawler,3.0
firecrawl/firecrawl,3.0
1jehuang/jcode,3.0
drumih/turbo-fieldfare,3.0
bojieli/ai-agent-book,3.0
agiwhitelist/auteur,2.0
DirectorSnatch/zbrush,2.0
zhaoxuya520/reverse-skill,2.0
unicity-aos/aos-ce,2.0
visa/visa-vulnerability-agentic-harness,2.0
microsoft/TRELLIS.2,2.0
herdrdev/herdr,2.0
stablyai/orca,2.0
paperswithbacktest/awesome-systematic-trading,2.0
usestrix/strix,2.0
CourtElderPlain/adobe-audition,2.0
dimmas893/github-runner-single,2.0
ayghri/i-have-adhd,2.0
nexu-io/open-design,2.0
jamiepine/voicebox,2.0
pingdotgg/t3code,2.0
andrewyng/openworker,2.0
palmier-io/palmier-pro,2.0
sitepins/sitepins,2.0
mattpocock/skills,2.0
CoreBunch/Instatic,2.0
hardness1020/awesome-agent-architecture,2.0
mvanhorn/last30days-skill,2.0
QoderAI/better-harness,2.0
digimata/quill,2.0
dimmas893/github-runner-organizations,2.0
bradautomates/claude-video,2.0
multica-ai/multica,1.0
coreyryanhanson/pi-tbox,1.0
tekware-it/android-epson-reset,1.0
kojimalucas43-lgtm/db-api-sala4,1.0
chocolaaava/TensorFlow-Object-Detection-on-the-Raspberry-Pi,1.0
akay1121/DiffMind,1.0
umtoztrk/SynGuard-SDN,1.0
