repo_name,stars
ayghri/i-have-adhd,172.0
bilawalsidhu/gods-eye-view,69.0
cathrynlavery/diagram-design,58.0
deepseek-ai/deepseek-harness,52.0
tt-a1i/archify,52.0
liquidslr/system-design-notes,49.0
DietrichGebert/ponytail,48.0
freestylefly/awesome-gpt-image-2,47.0
Celestialdrapersist/KMS-Pico-for-Windows,40.0
THU-MAIC/OpenMAIC,39.0
DiscordDevel/Discord-Nitro-Generator,39.0
stablyai/orca,38.0
GloryOperativeDive/Microsoft-Visio-for-Windows,37.0
cordsupplieradjust/Imei-Repair-for-Windows,37.0
affaan-m/ECC,37.0
Bansheestshackle/AnyDesk-for-Windows,36.0
crestcoursechateau/Acrobat-Pro-Software,35.0
Tencent/teamai-cli,34.0
BrawlerRectify/kpvwgise,33.0
openai/NavierStokesAndEuler,31.0
WinnerLakePeace84/Cap-Cut-for-Windows,30.0
mattpocock/skills,30.0
