repo_name,stars
DietrichGebert/ponytail,32.0
hasaneyldrm/exercises-dataset,24.0
DeusData/codebase-memory-mcp,23.0
calesthio/OpenMontage,23.0
XxHuberrr/Mineradio,21.0
msitarzewski/agency-agents,20.0
simplex-chat/simplex-chat,19.0
mattpocock/skills,18.0
xbtlin/ai-berkshire,16.0
deepseek-ai/DeepSpec,15.0
ripienaar/free-for-dev,15.0
firecrawl/firecrawl,14.0
topoteretes/cognee,14.0
obra/superpowers,13.0
ZhuLinsen/daily_stock_analysis,12.0
garrytan/gstack,12.0
hugohe3/ppt-master,12.0
Panniantong/Agent-Reach,12.0
vercel-labs/deepsec,11.0
bikini/exploitarium,11.0
NanmiCoder/MediaCrawler,11.0
JCodesMore/ai-website-cloner-template,10.0
tinyhumansai/openhuman,9.0
multica-ai/andrej-karpathy-skills,9.0
Rapidsouloop/Internet-Download-Manager,9.0
XFaltixX/Destiny2-Ultimate-Trainer-2026-plus,9.0
microsoft/markitdown,9.0
anthropics/skills,9.0
neovim/neovim,9.0
CoreBunch/Instatic,8.0
google-labs-code/design.md,8.0
NousResearch/hermes-agent,8.0
rust-lang/rust,8.0
makerspet/oomwoo,8.0
librepods-org/librepods,8.0
ryancameron555/MECCHA-CHAMELEON-Trainer-ModMenu,8.0
Yu9191/wloc,8.0
opendatalab/MinerU,7.0
JoyBoy-D-irar/Solara-Execut-Update,7.0
paperclipai/paperclip,7.0
ByteByteGoHq/system-design-101,7.0
Neverforgetme/Deltarune-Chapter5-Trainer-Ultimate,7.0
lightattah/Destiny2-Ultimate-Trainer-2026-ultimate,7.0
ianduart/Swift-Execut-Update,7.0
alex-carneiro/SailorPiece-AutoFarm-ESP-Trainer-2026-Max,7.0
YousefMahdy1/Deltarune-Chapter5-Trainer-Source,7.0
headroomlabs-ai/headroom,7.0
TauricResearch/TradingAgents,7.0
anomalyco/opencode,7.0
aztechofficial0-ops/Seliware-Execut-Update,7.0
