repo_name,stars
pewdiepie-archdaemon/odysseus,290.0
NousResearch/hermes-agent,132.0
Leonxlnx/taste-skill,129.0
anthropics/defending-code-reference-harness,117.0
chopratejas/headroom,106.0
RyanCodrai/turbovec,106.0
microsoft/markitdown,80.0
affaan-m/ECC,76.0
XingYu-Zhong/DeepSeek-GUI,76.0
obra/superpowers,74.0
safishamsi/graphify,71.0
Panniantong/Agent-Reach,71.0
colbymchenry/codegraph,71.0
alibaba/open-code-review,70.0
OpenBMB/VoxCPM,69.0
mattpocock/skills,63.0
santifer/career-ops,63.0
Lum1104/Understand-Anything,63.0
farion1231/cc-switch,62.0
mvanhorn/last30days-skill,62.0
multica-ai/andrej-karpathy-skills,60.0
nexu-io/open-design,60.0
rohitg00/ai-engineering-from-scratch,56.0
lfnovo/open-notebook,56.0
TauricResearch/TradingAgents,52.0
MemPalace/mempalace,50.0
CopilotKit/CopilotKit,49.0
Feralphienergy/Lossless-Scaling-Download-2026,49.0
harry0703/MoneyPrinterTurbo,48.0
Brinkinshock/AutoCAD-Activated,45.0
roboflow/supervision,45.0
BigPizzaV3/CodexPlusPlus,44.0
unicity-astrid/astrid,43.0
AIEraDev/Clypra,43.0
Pyramidkroillustrate/KMS-Tools-Portable-2026,42.0
MadsLorentzen/ai-job-search,39.0
PaddlePaddle/PaddleOCR,38.0
nexu-io/html-video,38.0
addyosmani/agent-skills,37.0
Sonicapheart/AnyUnlock-Activate,37.0
baojie/shiji-kb,36.0
unicity-astrid/sdk-js,36.0
heygen-com/hyperframes,36.0
OpenCut-app/OpenCut,36.0
codecrafters-io/build-your-own-x,36.0
helloianneo/ian-xiaohei-illustrations,36.0
nextlevelbuilder/ui-ux-pro-max-skill,35.0
ParthibanRajasekaran/delivery-intel,35.0
TapXWorld/ChinaTextbook,34.0
github/spec-kit,34.0
byoungd/English-level-up-tips,34.0
sindresorhus/awesome,33.0
Shackletreobey/Soundpad-Crack-2026,33.0
esengine/DeepSeek-Reasonix,33.0
anomalyco/opencode,33.0
firecrawl/firecrawl,33.0
DigitalPlatDev/FreeDomain,31.0
666ghj/MiroFish,31.0
microsoft/VibeVoice,30.0
