repo_name,stars
DietrichGebert/ponytail,22.0
unicity-sphere/sphere-sdk-connect-example,21.0
DeusData/codebase-memory-mcp,19.0
hasaneyldrm/exercises-dataset,15.0
deepseek-ai/DeepSpec,15.0
unicity-sphere/sphere,14.0
simplex-chat/simplex-chat,14.0
xbtlin/ai-berkshire,14.0
bikini/exploitarium,13.0
msitarzewski/agency-agents,11.0
ripienaar/free-for-dev,11.0
baairon/torlink,10.0
Panniantong/Agent-Reach,10.0
calesthio/OpenMontage,10.0
obra/superpowers,9.0
stablyai/orca,8.0
flebonan/WeatherMaster,8.0
JCodesMore/ai-website-cloner-template,8.0
Stirling-Tools/Stirling-PDF,7.0
topoteretes/cognee,7.0
nextlevelbuilder/ui-ux-pro-max-skill,7.0
roboflow/supervision,7.0
browser-use/video-use,7.0
mattpocock/skills,7.0
insanekrishnna/polymatch,7.0
affaan-m/ECC,7.0
safishamsi/graphify,7.0
noterepairvision/Bongo-Cat-All-Packs,7.0
yashkhatri45/Meccha-Chameleon-Trainer-Mod-Overlay,6.0
kepano/obsidian-skills,6.0
Leonxlnx/taste-skill,6.0
AHEKOT/ComfyUI_VNCCS,6.0
diegosouzapw/OmniRoute,6.0
cloudflare/security-audit-skill,6.0
ZhuLinsen/daily_stock_analysis,6.0
HKUDS/Vibe-Trading,6.0
XxHuberrr/Mineradio,6.0
canopy-network/canopy,6.0
altic-dev/FluidVoice,6.0
farion1231/cc-switch,5.0
iptv-org/iptv,5.0
interviewstreet/hiring-agent,5.0
vorssaint/vorssaint-utils,5.0
cobusgreyling/loop-engineering,5.0
apple/container,5.0
github/spec-kit,5.0
soxoj/maigret,5.0
0xNyk/council-of-high-intelligence,5.0
phuryn/pm-skills,5.0
microsoft/markitdown,5.0
