repo_name,stars
heygen-com/hyperframes,54.0
microsoft/markitdown,40.0
tt-a1i/archify,40.0
pallets/flask,37.0
deepseek-ai/deepseek-harness,36.0
DietrichGebert/ponytail,35.0
mattpocock/skills,34.0
affaan-m/ECC,29.0
webadderallorg/Recordly,26.0
headroomlabs-ai/headroom,25.0
Tencent/teamai-cli,25.0
EverettFish/holo-card-studio,24.0
redhat-et/ripwire,23.0
microsoft/tgrep,22.0
Rion-Wu-tech/wechat-intelligence-hub,20.0
torvalds/linux,19.0
vastsa/PI-Desktop,19.0
ashemag/human-atlas,19.0
diegosouzapw/OmniRoute,19.0
stablyai/orca,19.0
vorssaint/vorssaint-utils,18.0
public-apis/public-apis,17.0
zhishile/codex-auth-helper,17.0
cathrynlavery/diagram-design,17.0
PyromancerSleeve/Cinema-4D-Download,17.0
kubernetes/kubernetes,16.0
microsoft/vscode,16.0
sindresorhus/awesome,15.0
tensorflow/tensorflow,15.0
golang/go,15.0
miqdadbadjuber/anti-slop,15.0
vuejs/vue,14.0
TeamForemanStorm/Multi-Roblox-Account-Manager,14.0
experientiallabs/experiential,14.0
bilawalsidhu/gods-eye-view,13.0
handsomestWei/patent-disclosure-skill,13.0
python/cpython,13.0
RepresentativeHollow/KMS-Pico-for-Windows,13.0
react/react,13.0
lnkiai/m3e-canvas,13.0
MShverdiakov/souchastnik,13.0
coreyhaines31/marketingskills,13.0
magnitudedev/magnitude,13.0
rust-lang/rust,13.0
blader/humanizer,13.0
NousResearch/hermes-agent,12.0
OpenWhispr/openwhispr,12.0
pathwaycom/arc-task-gen,12.0
totec448-spec/chat-on-steroids,12.0
hydra-db/hydradb,12.0
