repo_name,stars
tamaratran/fast-jev-compaction,72.0
browser-use/jev-ultrafast,66.0
cloudflare/security-audit-skill,58.0
FjordWorkerShanty/massgravel,38.0
deepseek-ai/deepseek-harness,38.0
eternity4719/HowToLiveBetter,30.0
latent-spaces/brag,29.0
alibaba/open-code-review,28.0
mattpocock/skills,26.0
bendlang/bend,26.0
hypit-ai/hypit,24.0
yi1108/printfilm,23.0
Tencent/BrowserSkill,20.0
mcncarl/jianying-headless,20.0
stablyai/orca,19.0
TheoLeeCJ/openjev,19.0
MiniMax-AI/minimax-code,18.0
bilawalsidhu/gods-eye-view,17.0
Open-Dev-Society/OpenStock,16.0
tt-a1i/archify,15.0
wide-trace/open-higgsfield,15.0
jarrodwatts/jev-trader,15.0
robbietilton/Compositor,14.0
TianyuCodings/NanoJev,14.0
affaan-m/ECC,13.0
Human-Agent-Society/reef,13.0
mcncarl/yichen-skills,13.0
earendil-works/pi,13.0
addyosmani/agent-skills,12.0
google/artemis,12.0
DietrichGebert/ponytail,11.0
KevinLiss/ApeAdmin,11.0
NxcoreAI/EverRoom,11.0
AbdelStark/awesome-typesafe,11.0
ApodexAI/FrontierAgent,11.0
bobeff/open-source-games,10.0
alphaXiv/OpenResearch,10.0
trycua/cua,10.0
ayghri/i-have-adhd,10.0
PrismML-Eng/Bonsai-demo,10.0
koala73/worldmonitor,9.0
NousResearch/hermes-agent,9.0
openai/codex,9.0
yynxxxxx/gpt_sub_analysis,9.0
asciimoo/hister,9.0
baojie/shiji-kb,9.0
Leonxlnx/tastecode,9.0
SonicloudTech/sonicloud_opensdk,9.0
JustVugg/colibri,8.0
pandorafuture/wx-cli,8.0
