repo_name,stars
multica-ai/andrej-karpathy-skills,467.0
colbymchenry/codegraph,404.0
Lum1104/Understand-Anything,356.0
anthropics/claude-plugins-official,281.0
rohitg00/ai-engineering-from-scratch,253.0
obra/superpowers,180.0
NousResearch/hermes-agent,175.0
mattpocock/skills,174.0
farion1231/cc-switch,120.0
ruvnet/RuView,119.0
nexu-io/open-design,117.0
CloakHQ/CloakBrowser,115.0
safishamsi/graphify,114.0
perplexityai/bumblebee,103.0
trimstray/the-book-of-secret-knowledge,102.0
yt-dlp/yt-dlp,101.0
D4Vinci/Scrapling,98.0
manaflow-ai/cmux,91.0
Imbad0202/academic-research-skills,89.0
tinyhumansai/openhuman,86.0
Fincept-Corporation/FinceptTerminal,81.0
Alishahryar1/free-claude-code,79.0
affaan-m/ECC,74.0
Hmbown/DeepSeek-TUI,67.0
tashfeenahmed/freellmapi,66.0
multica-ai/multica,66.0
codecrafters-io/build-your-own-x,65.0
simplifaisoul/osiris,64.0
karpathy/nn-zero-to-hero,63.0
FoundZiGu/GuJumpgate,63.0
earendil-works/pi,61.0
can1357/oh-my-pi,60.0
thananon/9arm-skills,59.0
github/spec-kit,59.0
BigPizzaV3/CodexPlusPlus,58.0
rohitg00/agentmemory,57.0
firecrawl/firecrawl,54.0
mukul975/Anthropic-Cybersecurity-Skills,54.0
anthropics/skills,54.0
VoltAgent/awesome-design-md,53.0
esengine/DeepSeek-Reasonix,53.0
google/ax,53.0
msitarzewski/agency-agents,52.0
ChromeDevTools/chrome-devtools-mcp,52.0
odoo/odoo,52.0
alistaitsacle/free-llm-api-keys,52.0
withcoral/coral,50.0
hugohe3/ppt-master,49.0
garrytan/gstack,49.0
anthropics/knowledge-work-plugins,48.0
Yuan1z0825/nature-skills,48.0
walkinglabs/learn-harness-engineering,47.0
sindresorhus/awesome,46.0
decolua/9router,46.0
anomalyco/opencode,45.0
Igglybuff/awesome-piracy,45.0
openclaw/openclaw,44.0
supertone-inc/supertonic,44.0
blakeblackshear/frigate,44.0
OpenSenseNova/SenseNova-U1,44.0
yaojingang/GEOFlow,43.0
88lin/video_vip,43.0
wiltodelta/remove-ai-watermarks,43.0
TauricResearch/TradingAgents,42.0
presenton/presenton,42.0
JuliusBrussee/caveman,41.0
DigitalPlatDev/FreeDomain,41.0
addyosmani/agent-skills,40.0
public-apis/public-apis,39.0
itsfatduck/optimizerDuck,39.0
zarazhangrui/feishu-claude-code-bridge,39.0
virgiliojr94/book-to-skill,38.0
nextlevelbuilder/ui-ux-pro-max-skill,37.0
rtk-ai/rtk,37.0
open-gsd/get-shit-done-redux,37.0
ruvnet/ruflo,36.0
awesome-selfhosted/awesome-selfhosted,36.0
HKUDS/ViMax,36.0
jamiepine/voicebox,36.0
anthropics/financial-services,36.0
clash-verge-rev/clash-verge-rev,36.0
666ghj/MiroFish,35.0
gokulgml/polymarket-copy-trading-bot,35.0
openai/codex,35.0
XiaoLuoLYG/GOD,35.0
PLFJY/ContextMenuMgr,34.0
AIDC-AI/Pixelle-Video,34.0
domcyrus/rustnet,34.0
google/eng-practices,34.0
garrytan/gbrain,34.0
ComposioHQ/awesome-codex-skills,34.0
santifer/career-ops,33.0
anthropics/claude-code,33.0
Leonxlnx/taste-skill,33.0
myapihq/myapi,32.0
datawhalechina/hello-agents,32.0
Achilng/floral-notepaper,32.0
0xSteph/pentest-ai,32.0
Lordog/dive-into-llms,32.0
anomalyco/models.dev,31.0
dotnet/skills,31.0
byJoey/cfnew,31.0
bytedance/deer-flow,31.0
Z4nzu/hackingtool,30.0
ggml-org/llama.cpp,30.0
