repo_name,stars
multica-ai/andrej-karpathy-skills,411.0
colbymchenry/codegraph,408.0
Lum1104/Understand-Anything,365.0
anthropics/claude-plugins-official,269.0
rohitg00/ai-engineering-from-scratch,258.0
NousResearch/hermes-agent,178.0
mattpocock/skills,171.0
obra/superpowers,168.0
perplexityai/bumblebee,129.0
CloakHQ/CloakBrowser,124.0
ruvnet/RuView,118.0
farion1231/cc-switch,118.0
nexu-io/open-design,110.0
safishamsi/graphify,107.0
manaflow-ai/cmux,102.0
sofian160616/Delta-Inject-Workstation,102.0
trimstray/the-book-of-secret-knowledge,99.0
Imbad0202/academic-research-skills,97.0
yt-dlp/yt-dlp,95.0
D4Vinci/Scrapling,95.0
tinyhumansai/openhuman,95.0
affaan-m/ECC,94.0
rayhayqal/Mythos-Claude-Skill-Forge,92.0
pierremichaeljensen/Yuzu-Switch-Emulation-Kit,89.0
jskblue/Tomodachi-Island-Life-Remastered,89.0
pheejm/forza-horizon-6-ultimate-mod-pack,88.0
Lablez/Ping-Slayer-Network-Optimizer,87.0
ochoaochoa330-design/Aegis-V4-Client-2026,87.0
teendriller0/AllMods-Subnautica-2,85.0
Alishahryar1/free-claude-code,84.0
bollahouse/office-2024-pro-integration-suite,84.0
sikander12342/Subnautica-2-Nitrox-Deep-Dive,83.0
muhammadqasimkalhoro94-blip/claude-zeroclaw-agentics,82.0
NicoleK-M/Spoof-Matrix-Hardware,81.0
hahavelhojoguinho/guild-advancement-automator,81.0
larajuniorlara/Claude-Design-Studio,79.0
mukul975/Anthropic-Cybersecurity-Skills,78.0
rafa450367/forza-horizon-6-community-edition,75.0
danyy-svg/AutoCAD-Suite-Builder,74.0
simplifaisoul/osiris,70.0
Fincept-Corporation/FinceptTerminal,70.0
codecrafters-io/build-your-own-x,68.0
multica-ai/multica,66.0
tashfeenahmed/freellmapi,65.0
rohitg00/agentmemory,65.0
Hmbown/DeepSeek-TUI,63.0
anthropics/knowledge-work-plugins,60.0
earendil-works/pi,59.0
odoo/odoo,58.0
thananon/9arm-skills,57.0
