repo_name,stars
pewdiepie-archdaemon/odysseus,96.0
NousResearch/hermes-agent,50.0
anthropics/defending-code-reference-harness,47.0
chopratejas/headroom,30.0
colbymchenry/codegraph,28.0
multica-ai/andrej-karpathy-skills,27.0
obra/superpowers,27.0
affaan-m/ECC,27.0
alibaba/open-code-review,27.0
Lum1104/Understand-Anything,24.0
lfnovo/open-notebook,22.0
safishamsi/graphify,22.0
mvanhorn/last30days-skill,20.0
BigPizzaV3/CodexPlusPlus,19.0
microsoft/pg_durable,19.0
mattpocock/skills,19.0
OpenBMB/VoxCPM,19.0
Leonxlnx/taste-skill,19.0
farion1231/cc-switch,18.0
nexu-io/html-video,18.0
unicity-astrid/astrid,17.0
CopilotKit/CopilotKit,15.0
helloianneo/ian-xiaohei-illustrations,15.0
JuliusBrussee/caveman,14.0
rust-lang/rust,14.0
PaddlePaddle/PaddleOCR,14.0
FufuLauncher/FufuLauncher,14.0
microsoft/markitdown,14.0
Yuan1z0825/nature-skills,14.0
666ghj/MiroFish,13.0
intellicia-public/parastore,13.0
github/spec-kit,13.0
harry0703/MoneyPrinterTurbo,13.0
garrytan/gstack,13.0
tailwindlabs/tailwindcss,13.0
cpaczek/skylight,12.0
rails/rails,12.0
trimstray/the-book-of-secret-knowledge,11.0
awesome-selfhosted/awesome-selfhosted,11.0
kubernetes/kubernetes,11.0
sveltejs/svelte,11.0
ideogram-oss/ideogram4,11.0
unicity-astrid/sdk-js,11.0
MemPalace/mempalace,11.0
csdeshang/DSPlatform-open,11.0
Imbad0202/academic-research-skills,11.0
b-nnett/goose,11.0
EvoMap/evolver,10.0
iliams2k1/tomodachi-pc,10.0
esengine/DeepSeek-Reasonix,10.0
