repo_name,today_stars,avg7,accel
anthropics/claude-code,21.0,2.0,7.0
666ghj/MiroFish,24.0,3.0,6.0
openai/codex,23.0,3.4285714285714284,5.193548387096774
BigPizzaV3/CodexPlusPlus,34.0,5.571428571428571,5.173913043478261
earendil-works/pi,29.0,6.0,4.142857142857143
rohitg00/ai-engineering-from-scratch,127.0,31.285714285714285,3.933628318584071
colbymchenry/codegraph,139.0,34.42857142857143,3.9233870967741935
farion1231/cc-switch,36.0,8.571428571428571,3.7611940298507465
Lum1104/Understand-Anything,234.0,65.42857142857143,3.52258064516129
Hmbown/CodeWhale,22.0,5.428571428571429,3.422222222222222
multica-ai/andrej-karpathy-skills,122.0,35.42857142857143,3.349019607843137
esengine/DeepSeek-Reasonix,45.0,12.571428571428571,3.3157894736842106
mattpocock/skills,62.0,18.571428571428573,3.167883211678832
codecrafters-io/build-your-own-x,21.0,5.714285714285714,3.127659574468085
affaan-m/ECC,65.0,19.857142857142858,3.1164383561643834
google/eng-practices,33.0,10.571428571428571,2.851851851851852
NousResearch/hermes-agent,47.0,16.285714285714285,2.71900826446281
obra/superpowers,42.0,15.0,2.625
CloakHQ/CloakBrowser,31.0,11.0,2.5833333333333335
Alishahryar1/free-claude-code,21.0,7.714285714285714,2.4098360655737703
anthropics/knowledge-work-plugins,39.0,15.428571428571429,2.3739130434782605
mukul975/Anthropic-Cybersecurity-Skills,28.0,11.285714285714286,2.2790697674418605
Imbad0202/academic-research-skills,34.0,14.714285714285714,2.1636363636363636
manaflow-ai/cmux,20.0,8.428571428571429,2.121212121212121
nexu-io/open-design,25.0,11.714285714285714,1.9662921348314608
tinyhumansai/openhuman,22.0,15.142857142857142,1.3628318584070798
