repo_name,stars
deepseek-ai/deepseek-harness,9.0
b-nnett/grok-bot-0.18-reconstructed,6.0
vorssaint/vorssaint-utils,6.0
freestylefly/awesome-gpt-image-2,6.0
FlashML-org/FreeToken,6.0
DietrichGebert/ponytail,6.0
AprilNEA/OpenLogi,4.0
NousResearch/hermes-agent,4.0
MadsLorentzen/ai-job-search,4.0
mattpocock/skills,4.0
multica-ai/andrej-karpathy-skills,3.0
earendil-works/pi,3.0
tobi/walgit,3.0
anomalyco/opencode,3.0
dani-garcia/vaultwarden,3.0
akitaonrails/ai-memory,3.0
openai/codex,3.0
lyogavin/airllm,3.0
stablyai/orca,3.0
bojieli/ai-agent-book,2.0
Live-Charts/LiveCharts2,2.0
AlayaLab/Evoke,2.0
SegmentStork/gmail-account-creator,2.0
Leonxlnx/taste-skill,2.0
debpalash/VoiceStudio,2.0
openclaw/openclaw,2.0
django/django,2.0
AlpinDale/gpt2.cmake,2.0
GetBindu/Bindu,2.0
donnemartin/system-design-primer,2.0
calesthio/OpenMontage,2.0
MengTo/threeui,2.0
firecrawl/firecrawl,2.0
taylannuhogluofficial-png/Tblue,2.0
basecamp/omarchy,2.0
Handcuffplopartition/portrait-pro-craft,2.0
Alishahryar1/free-claude-code,2.0
img2threejs/img2threejs,2.0
petergyang/no-ai-slop,2.0
lxf746/outlook-auto-register,2.0
snflkd/fluent-korean,2.0
missuo/kumone,2.0
sindresorhus/awesome,2.0
AgriciDaniel/claude-obsidian,2.0
react/react,2.0
justrach/codegraff,2.0
mukul975/Anthropic-Cybersecurity-Skills,2.0
driftpremierplay/pia-vpn-boost,2.0
harry0703/MangoDisk,2.0
blader/humanizer,2.0
