repo_name,stars
deepseek-ai/deepseek-harness,107.0
guillaumemeyer/watermarks-remover,9.0
cathrynlavery/diagram-design,9.0
Leutenegger/book-to-skill,6.0
addyosmani/agent-skills,5.0
cordiverse/cordis,5.0
LaoFeng-mouse/flyingmouse-format,5.0
vercel-labs/deepsec,5.0
xoreaxeaxeax/skitter-creek-bath-salts,5.0
kepano/obsidian-skills,4.0
macro-inc/macro,4.0
arvin341az-glitch/RVG,4.0
earendil-works/pi,4.0
lightningpixel/modly,4.0
xai-org/x-algorithm,4.0
mattpocock/skills,4.0
yc-software/qm,3.0
HKUDS/CLI-Anything,3.0
farion1231/cc-switch,3.0
harry0703/MoneyPrinterTurbo,3.0
every-app/open-seo,3.0
awesome-dsh-plugin/awesome-dsh-plugin,3.0
nilbuild/developer-roadmap,3.0
donnemartin/system-design-primer,3.0
Anionex/dsh-vision-toolkit,3.0
bojieli/ai-agent-book,3.0
odysseus-dev/odysseus,3.0
herdrdev/herdr,3.0
zhu1090093659/dsh-web-ui,3.0
ggml-org/llama.cpp,3.0
hehonghui/awesome-english-ebooks,3.0
cactus-compute/needle,3.0
repowise-dev/repowise,3.0
hugohe3/ppt-master,3.0
stablyai/orca,3.0
anomalyco/opencode,2.0
obra/superpowers,2.0
itsPLK/ps5-webkit-autoloader,2.0
rtk-ai/rtk,2.0
affaan-m/ECC,2.0
wzchav/tokentab,2.0
luguochang/meeting-copilot,2.0
denoland/celld,2.0
megadose/holehe,2.0
msitarzewski/agency-agents,2.0
ReScienceLab/opc-skills,2.0
elie222/rakazo,2.0
AntigmaLabs/ante,2.0
Panniantong/Agent-Reach,2.0
multica-ai/andrej-karpathy-skills,2.0
