repo_name,stars
MadsLorentzen/ai-job-search,13.0
ogulcancelik/herdr,7.0
calesthio/OpenMontage,6.0
chuspeeism/dashiAI-ppt-skill,6.0
iOfficeAI/OfficeCLI,6.0
VoltAgent/awesome-design-md,6.0
DietrichGebert/ponytail,5.0
Zackriya-Solutions/meetily,5.0
x4gKing/X4G,5.0
NousResearch/hermes-agent,4.0
addyosmani/agent-skills,4.0
nextlevelbuilder/ui-ux-pro-max-skill,4.0
DeusData/codebase-memory-mcp,4.0
asgeirtj/system_prompts_leaks,4.0
Graphify-Labs/graphify,3.0
ZhuLinsen/daily_stock_analysis,3.0
rtk-ai/rtk,3.0
Yuan1z0825/nature-skills,3.0
AgriciDaniel/claude-obsidian,3.0
isjiamu/gzh-design-skill,3.0
imthenachoman/How-To-Secure-A-Linux-Server,3.0
EverMind-AI/Raven,3.0
Shpigford/knockoff,3.0
Wei-Shaw/sub2api,3.0
obra/superpowers,3.0
awesome-selfhosted/awesome-selfhosted,3.0
sindresorhus/awesome,3.0
earendil-works/pi,3.0
AhmadIbrahiim/Website-downloader,3.0
ruvnet/RuView,3.0
chattocorp/chatto,2.0
paperclipai/paperclip,2.0
stablyai/orca,2.0
usestrix/strix,2.0
unicity-sphere/sphere-sdk-connect-example,2.0
kunchenguid/no-mistakes,2.0
brave/brave-browser,2.0
Imbad0202/academic-research-skills,2.0
VolodymyrPerun/Books,2.0
public-apis/public-apis,2.0
JCodesMore/ai-website-cloner-template,2.0
TencentCloud/TencentDB-Agent-Memory,2.0
LeyckerS/moondownloader,2.0
docmost/docmost,2.0
iOfficeAI/AionUi,2.0
kepano/obsidian-skills,2.0
datawhalechina/hello-agents,2.0
TencentCloud/CubeSandbox,2.0
affaan-m/ECC,2.0
cheahjs/free-llm-api-resources,2.0
