repo_name,stars
Imbad0202/academic-research-skills,45.0
averygan/reclip,45.0
521xueweihan/HelloGitHub,45.0
BrickBuffaloSpout/VoidToolsDiscord,44.0
Panniantong/Agent-Reach,44.0
FailproofAI/failproofai,44.0
xsolla-baku-gametech-hackathon/team-Omzo,43.0
openaiotlab/CUHK-X,43.0
nab138/iloader,43.0
K-Dense-AI/scientific-agent-skills,43.0
Lakr233/vphone-cli,43.0
browser-use/life-recorder,43.0
ruvnet/ruflo,42.0
Stremio/stremio-web,42.0
Comfy-Org/ComfyUI,42.0
hypit-ai/hypit,42.0
browser-use/browser-use,42.0
jbarbier/CLAUDE.md,42.0
router-for-me/CLIProxyAPI,41.0
lidge-jun/opencodex,41.0
crwdla/tokentab,41.0
farion1231/cc-switch,41.0
torvalds/linux,41.0
asgeirtj/system_prompts_leaks,40.0
marconvcm/sony-device-center,40.0
jingyaogong/minimind,40.0
every-app/open-seo,39.0
hugohe3/ppt-master,39.0
huawei-bayerlab/marigold-v2,39.0
liketrek/TREK,39.0
can1357/oh-my-pi,39.0
sapientinc/PRAXIST,39.0
zhaoxuya520/reverse-skill,38.0
heygen-com/liveavatar-gpt-live-demos,38.0
openclaw/openclaw,38.0
duolahypercho/codex-router,37.0
career-ops-hq/career-ops,37.0
MadsLorentzen/ai-job-search,37.0
Vodiwalker/vodiwalker_panel,36.0
SignalHero28/IDM-setup,36.0
kennethwolters/litelm,36.0
rohitg00/ai-engineering-from-scratch,36.0
t8y2/dbx,36.0
Goldenpushout/EaseUS-Partition-Master,36.0
wafer-ai/gpu-perf-engineering-resources,36.0
chen08209/FlClash,36.0
rtk-ai/rtk,35.0
nftechie/stonkfly,35.0
aoguai/LiYing,35.0
omdxp/fun,35.0
elder-plinius/CL4R1T4S,34.0
Continuum-AI-Corp/OrcaRouter-Lite,34.0
sepinf-inc/IPED,34.0
SnailSploit/Claude-Red,34.0
fruitflydev/flycoinrh,33.0
tigerless-labs/cost-xray,33.0
summitflyatrium/Kontakt-8-for-Windows,33.0
Lordog/dive-into-llms,33.0
tigerless-labs/agent-memory,33.0
mizzlelover/gongwen-gbt9704-skill,32.0
modernstoryheart/iZotope-Ozone-for-Windows,32.0
vivizzz007/vivi-music,32.0
open-webui/open-webui,31.0
yding-git/personal-edge-proxy,31.0
paradise-runner/toast,31.0
LLMQuant/awesome-trading-agents,31.0
plugin87/ux-ui-agent-skills,30.0
avelino/awesome-go,30.0
FireRedTeam/FireRedAudio,30.0
ApodexAI/FrontierAgent,30.0
ahujasid/blender-mcp,30.0
practical-tutorials/project-based-learning,30.0
neil-pan-s/one-quant-doc,30.0
Asabeneh/30-Days-Of-Python,30.0
DuarteSantos8/openGym,30.0
SegFault42/HeliosGen,30.0
EbookFoundation/free-programming-books,30.0
RaidOwl/homelab-hub,30.0
Unity-Technologies/unity-agent-plugin,30.0
vibeshotclub/vsc-skills,30.0
