repo_name,today_stars,avg7,accel
Separatezuhearth49/Zapret-3.0,24.0,0.0,24.0
echo-loop/Echo-Loop,23.0,0.0,23.0
rohitg00/ai-engineering-from-scratch,35.0,3.4285714285714284,7.903225806451612
BigPizzaV3/CodexPlusPlus,40.0,4.142857142857143,7.777777777777777
harry0703/MoneyPrinterTurbo,98.0,14.571428571428571,6.293577981651376
D4Vinci/Scrapling,36.0,4.857142857142857,6.146341463414634
anthropics/claude-code,22.0,2.857142857142857,5.703703703703703
GordenSun/GordenPPTSkill,23.0,3.5714285714285716,5.03125
colbymchenry/codegraph,37.0,7.0,4.625
obra/superpowers,25.0,4.571428571428571,4.487179487179487
OpenBMB/VoxCPM,30.0,5.714285714285714,4.468085106382978
farion1231/cc-switch,31.0,6.142857142857143,4.34
esengine/DeepSeek-Reasonix,21.0,4.0,4.2
multica-ai/andrej-karpathy-skills,32.0,6.714285714285714,4.148148148148148
nesquena/hermes-webui,24.0,5.857142857142857,3.5
mattpocock/skills,23.0,5.714285714285714,3.4255319148936167
AprilNEA/OpenLogi,32.0,9.0,3.2
Lum1104/Understand-Anything,32.0,9.142857142857142,3.154929577464789
Leonxlnx/taste-skill,23.0,6.428571428571429,3.0961538461538463
microsoft/markitdown,61.0,20.0,2.9047619047619047
NousResearch/hermes-agent,27.0,8.571428571428571,2.8208955223880596
pewdiepie-archdaemon/odysseus,180.0,63.714285714285715,2.7814569536423837
codecrafters-io/build-your-own-x,23.0,8.571428571428571,2.4029850746268657
affaan-m/ECC,29.0,11.714285714285714,2.2808988764044944
