repo_name,today_stars,avg7,accel
Video-Reason/VBVR-EvalKit,23.0,0.14285714285714285,20.125
BigPizzaV3/CodexPlusPlus,31.0,2.2857142857142856,9.434782608695652
earendil-works/pi,33.0,3.0,8.25
Leonxlnx/taste-skill,93.0,10.714285714285714,7.939024390243903
esengine/DeepSeek-Reasonix,49.0,6.142857142857143,6.859999999999999
colbymchenry/codegraph,69.0,9.714285714285714,6.44
Axorax/awesome-free-apps,27.0,3.5714285714285716,5.90625
mattpocock/skills,39.0,6.142857142857143,5.46
Lum1104/Understand-Anything,107.0,19.0,5.35
multica-ai/andrej-karpathy-skills,49.0,8.428571428571429,5.196969696969697
NousResearch/hermes-agent,36.0,6.0,5.142857142857143
DigitalPlatDev/FreeDomain,46.0,8.0,5.111111111111111
farion1231/cc-switch,27.0,4.571428571428571,4.846153846153847
harry0703/MoneyPrinterTurbo,23.0,4.0,4.6
rohitg00/ai-engineering-from-scratch,47.0,9.428571428571429,4.506849315068493
byoungd/English-level-up-tips,28.0,5.428571428571429,4.355555555555555
microsoft/Webwright,31.0,6.142857142857143,4.34
obra/superpowers,28.0,6.0,4.0
affaan-m/ECC,45.0,11.285714285714286,3.6627906976744184
