repo_name,stars
mattpocock/skills,884.0
DietrichGebert/ponytail,874.0
tt-a1i/archify,591.0
debpalash/VoiceStudio,522.0
lnkiai/m3e-canvas,492.0
affaan-m/ECC,412.0
sgl-project/sglang,366.0
deepseek-ai/deepseek-harness,335.0
blader/humanizer,327.0
Farama-Foundation/Shimmy,226.0
deeplethe/utopia,217.0
cathrynlavery/diagram-design,202.0
stablyai/orca,201.0
NousResearch/hermes-agent,196.0
magnitudedev/magnitude,185.0
anomalyco/opencode,182.0
Farama-Foundation/MPE2,180.0
PinkRangerRecall/kbvguxmw,173.0
Farama-Foundation/MAgent2,170.0
Farama-Foundation/Procgen2,170.0
arcboxlabs/arcbox,168.0
bilawalsidhu/gods-eye-view,166.0
miuuyy/codex-chatgpt-web,157.0
jakubkrehel/skills,153.0
anthropics/fermats-last-theorem,146.0
humanlayer/skills,144.0
Farama-Foundation/Gymnasium-Robotics,141.0
anthropics/skills,137.0
bannedbook/fanqiang,135.0
JuliusBrussee/caveman,133.0
Indigodriflue/Discord-Nitro-Generator,125.0
THU-MAIC/OpenMAIC,124.0
obra/superpowers,124.0
zvec-ai/zvec-grep,122.0
nahrek/polyledger,122.0
openJiuwen-ai/jiuwenswarm,121.0
harry0703/MoneyPrinterTurbo,120.0
public-apis/public-apis,119.0
AprilNEA/OpenLogi,119.0
k1tbyte/Wand-Enhancer,117.0
nextlevelbuilder/ui-ux-pro-max-skill,116.0
earendil-works/pi,116.0
diegosouzapw/OmniRoute,114.0
BenefactorEliminate/znyogclm,113.0
sindresorhus/awesome,110.0
danielblnc/DLSS-NR-on-AMD,108.0
google-research/timesfm,107.0
bofanchen99-netizen/-.,106.0
dramaclaw/dramaclaw,105.0
rakanki911/DLSS5-Swapper,104.0
Graphify-Labs/graphify,103.0
ByteByteGoHq/system-design-101,102.0
firecrawl/firecrawl,102.0
Leonxlnx/taste-skill,101.0
larashero3-dotcom/writing-dna-skill,99.0
eternityspring/shuohao-skills,99.0
anthropics/commerce-agents,95.0
yanliudesign/mono-color-skill,93.0
