repo_name,stars
openai/codex-security,9.0
virgiliojr94/book-to-skill,8.0
bojieli/ai-agent-book,8.0
MoonshotAI/Kimi-K3,7.0
stablyai/orca,7.0
earendil-works/pi,5.0
usestrix/strix,4.0
obra/superpowers,4.0
bradautomates/claude-video,3.0
affaan-m/ECC,3.0
D4Vinci/Scrapling,3.0
huggingface/speech-to-speech,3.0
dimmas893/github-runner-single,3.0
StarTrail-org/PixelRAG,3.0
moeru-ai/airi,3.0
different-ai/openwork,3.0
koala73/worldmonitor,3.0
1jehuang/jcode,3.0
firecrawl/firecrawl,3.0
sindresorhus/awesome,3.0
ayghri/i-have-adhd,3.0
FloorSaboteur/Discord-Nitro-Tools,3.0
pascalorg/editor,3.0
paperswithbacktest/awesome-systematic-trading,3.0
EimanTahir027/Parallel-and-Distributed-Computing,3.0
0xwilliamortiz/FlashKDA,2.0
Nutlope/hallmark,2.0
baidu/Unlimited-OCR,2.0
Leonxlnx/taste-skill,2.0
QuantumNous/new-api,2.0
immich-app/immich,2.0
drumih/turbo-fieldfare,2.0
JustVugg/colibri,2.0
nexu-io/open-design,2.0
agiwhitelist/auteur,2.0
k1tbyte/Wand-Enhancer,2.0
perplexityai/numbat,2.0
DietrichGebert/ponytail,2.0
ggml-org/whisper.cpp,2.0
CoreBunch/Instatic,2.0
tokio-rs/topcoat,2.0
EverMind-AI/EverOS,2.0
bryanthaboi/gen1recomp,2.0
mattpocock/skills,2.0
myrosama/DaemonClient,2.0
massgravel/Microsoft-Activation-Scripts,2.0
Graphify-Labs/graphify,2.0
microsoft/markitdown,2.0
open-webui/open-webui,2.0
block/buzz,2.0
