repo_name,stars
cloudflare/security-audit-skill,211.0
browser-use/jev-ultrafast,141.0
alibaba/open-code-review,133.0
hypit-ai/hypit,101.0
latent-spaces/brag,79.0
deepseek-ai/deepseek-harness,72.0
affaan-m/ECC,62.0
shinthink/blitzstrike,62.0
Tencent/BrowserSkill,60.0
DietrichGebert/ponytail,59.0
bilawalsidhu/gods-eye-view,58.0
LocustEliminate/Acrobat-Reader-Professional,57.0
tt-a1i/archify,56.0
eternity4719/HowToLiveBetter,53.0
google/artemis,49.0
wide-trace/open-higgsfield,48.0
mattpocock/skills,48.0
alphaXiv/OpenResearch,47.0
ai-sucks-butt/ai-sucks-butt,46.0
bendlang/bend,45.0
miuuyy/codex-chatgpt-web,45.0
JustVugg/colibri,44.0
TheoLeeCJ/openjev,43.0
Tencent/WeKnora,42.0
addyosmani/agent-skills,42.0
asciimoo/hister,42.0
stablyai/orca,41.0
Human-Agent-Society/reef,40.0
GalaxyDirectorCrack/Indesign-setup,38.0
obra/superpowers,35.0
debpalash/VoiceStudio,35.0
BoulderGateRecollect/Filmora-15,34.0
NationalSecurityAgency/ghidra,33.0
Pridechorouter/Microsoft-Visio,32.0
ayghri/i-have-adhd,32.0
BansheeExpertPanel68/KMS-Pico-Win,31.0
jarrodwatts/jev-trader,31.0
bobeff/open-source-games,31.0
Lakr233/vphone-cli,30.0
diegosouzapw/OmniRoute,30.0
spinabot/brigade,30.0
JuliusBrussee/caveman,29.0
PsycheNavigator/AutoCad,29.0
Graphify-Labs/graphify,29.0
tamaratran/fast-jev-compaction,29.0
firecrawl/firecrawl,28.0
anthropics/claude-code,28.0
jamiepine/voicebox,27.0
D4Vinci/Scrapling,27.0
multica-ai/andrej-karpathy-skills,26.0
