repo_name,stars
chopratejas/headroom,48.0
DietrichGebert/ponytail,38.0
tw93/Pake,23.0
DeusData/codebase-memory-mcp,23.0
pewdiepie-archdaemon/odysseus,19.0
EpicGames/lore,19.0
mattpocock/skills,19.0
obra/superpowers,15.0
unicity-astrid/handbook,15.0
unicity-astrid/book,14.0
Kilo-Org/kilocode,14.0
google-research/timesfm,14.0
tursodatabase/turso,12.0
microsoft/markitdown,11.0
yaojingang/yao-meta-skill,10.0
addyosmani/agent-skills,10.0
nexu-io/open-design,10.0
BuilderIO/skills,10.0
Kong/insomnia,9.0
firecrawl/firecrawl,9.0
Panniantong/Agent-Reach,9.0
JuliusBrussee/caveman,9.0
NousResearch/hermes-agent,9.0
garrytan/gstack,8.0
Leonxlnx/taste-skill,8.0
palmier-io/palmier-pro,8.0
OpenCut-app/OpenCut,8.0
codecrafters-io/build-your-own-x,8.0
sunyitong/DeepMetricEye,8.0
withastro/flue,8.0
Egonex-AI/Understand-Anything,8.0
calesthio/OpenMontage,8.0
massgravel/Microsoft-Activation-Scripts,8.0
colbymchenry/codegraph,7.0
n8n-io/n8n,6.0
affaan-m/ECC,6.0
Alishahryar1/free-claude-code,6.0
clash-verge-rev/clash-verge-rev,6.0
ExistenceDivinerMill/Microsoft-Office-365,5.0
santifer/career-ops,5.0
twentyhq/twenty,5.0
aishwaryanr/awesome-generative-ai-guide,5.0
openai/codex,5.0
jprx/fractal,5.0
code-yeongyu/lazycodex,5.0
THUDM/slime,5.0
iptv-org/iptv,5.0
kennss/SiliconScope,5.0
makeplane/plane,5.0
farion1231/cc-switch,5.0
