repo_name,stars
browser-use/jev-ultrafast,29.0
cloudflare/security-audit-skill,20.0
robbietilton/Compositor,17.0
NandhaKishorM/laya,12.0
alibaba/open-code-review,11.0
bilawalsidhu/gods-eye-view,8.0
tamaratran/fast-jev-compaction,8.0
v-modal/vmodal_sdk_swift_iphoneduo,8.0
stablyai/orca,8.0
Open-Dev-Society/OpenStock,8.0
addyosmani/agent-skills,8.0
dexmal/dexbotic,8.0
deepseek-ai/deepseek-harness,7.0
mattpocock/skills,7.0
Tencent/BrowserSkill,7.0
tt-a1i/archify,7.0
deeplethe/utopia,7.0
affaan-m/ECC,7.0
hypit-ai/hypit,7.0
crivion/laranode,7.0
trycua/cua,7.0
feder-cr/invisible_playwright,7.0
bendlang/bend,7.0
obra/superpowers,6.0
diegosouzapw/OmniRoute,6.0
JustVugg/colibri,6.0
eternity4719/HowToLiveBetter,6.0
typesafe-ai/skills,6.0
jarrodwatts/jev-trader,6.0
latent-spaces/brag,6.0
anomalyco/opencode,6.0
asgeirtj/system_prompts_leaks,5.0
ScreenPillage/Assassin-s-Creed-Black-Flag,5.0
dexmal/opendm,5.0
FareedKhan-dev/train-llm-from-scratch,5.0
oneshot-agent/oneshot-gtm,5.0
supermemoryai/supermemory,5.0
apify/apify-mcp-server,5.0
sindresorhus/awesome,5.0
wraithmosquitoarm/Blender-Desktop-2026,5.0
TianyuCodings/NanoJev,5.0
gylive/ccodex-sleep-state,5.0
blader/humanizer,5.0
JuliusBrussee/caveman,4.0
githubnext/localjev,4.0
jackwener/wx-cli-again,4.0
CraterSerpentGlow/Discord-Server-Raider,4.0
gethopp/figma-mcp-bridge,4.0
Graphify-Labs/graphify,4.0
max-sixty/worktrunk,4.0
