repo_name,stars
NandhaKishorM/laya,123.0
browser-use/jev-ultrafast,88.0
google/ax,60.0
mizorewww/laya-mlx,44.0
DaimyoJournal/Discord-Booster-Joiner,36.0
AlchemistTrail/Windows-Optimizer,32.0
jaredpalmer/kev,30.0
zai-org/ZCode,28.0
CraterSerpentGlow/Discord-Server-Raider,28.0
cloudflare/security-audit-skill,25.0
CylinderHoopoeBarrow/PH-Downloader,25.0
affaan-m/ECC,25.0
TheoLeeCJ/SemIf,24.0
bilawalsidhu/gods-eye-view,23.0
Asymptote-Labs/agent-beacon,23.0
Finderchangchang/jev-chat-JARVIS,23.0
Resttruheart/VoiceChanger-Plus,23.0
BuilderIO/agent-native,22.0
BasinMaharaja/SystemCare-Pro,22.0
BeastStokerSouk/Better-Discord,22.0
alibaba/open-code-review,21.0
eternity4719/HowToLiveBetter,21.0
Apparitionofthrive/FL-Studio-26,21.0
stablyai/orca,20.0
xiao18825501901-rgb/coursemate-ai,20.0
LeopardEstate/Internet-Download-Manager,19.0
Mistveportico/VoiceMod-Professional,18.0
trycua/cua,18.0
CaptainCount/Total-Commander,18.0
whitecircle/halo,18.0
SewBarberTuck/Passware-Kit-Forensic,18.0
Open-Dev-Society/OpenStock,18.0
mattpocock/skills,18.0
CarpenterPersonify/TeamViewer-Activator,17.0
Crosstalk-Solutions/project-nomad,17.0
google/artemis,17.0
Tremorluretort/IDM-setup,17.0
firecrawl/firecrawl,17.0
Highwayencomplete40/KMS-Pico,17.0
Avalancheeiwedge/Microsoft-365,17.0
topazqueensocket72/Cinema-4D,17.0
Rapidssaintduct/Voice-Changer-Desktop-2026,15.0
debpalash/VoiceStudio,15.0
hypit-ai/hypit,14.0
ayghri/i-have-adhd,14.0
Graveltronurse/Netflix-Account-Activator-Tools,14.0
robbietilton/Compositor,14.0
tt-a1i/archify,13.0
LairGladiator/Pure-VPN-Desktop-2026,13.0
DietrichGebert/ponytail,13.0
