repo_name,stars
harry0703/MoneyPrinterTurbo,108.0
microsoft/markitdown,83.0
OpenBMB/VoxCPM,56.0
Leonxlnx/taste-skill,54.0
NousResearch/hermes-agent,47.0
mattpocock/skills,41.0
DigitalPlatDev/FreeDomain,40.0
Lum1104/Understand-Anything,39.0
colbymchenry/codegraph,38.0
affaan-m/ECC,36.0
byoungd/English-level-up-tips,35.0
multica-ai/andrej-karpathy-skills,34.0
run-llama/liteparse,32.0
codecrafters-io/build-your-own-x,30.0
obra/superpowers,29.0
farion1231/cc-switch,27.0
esengine/DeepSeek-Reasonix,27.0
microsoft/Webwright,25.0
safishamsi/graphify,24.0
ruvnet/RuView,24.0
helloianneo/ian-xiaohei-illustrations,22.0
ombharatiya/ai-system-design-guide,22.0
Crosstalk-Solutions/project-nomad,21.0
ddclient/ddclient,21.0
OpenBMB/PilotDeck,21.0
nexu-io/open-design,21.0
anthropics/skills,20.0
microsoft/SkillOpt,19.0
Gality369/syzkaller-rust,18.0
anomalyco/opencode,18.0
BigPizzaV3/CodexPlusPlus,17.0
garrytan/gstack,17.0
mukul975/Anthropic-Cybersecurity-Skills,17.0
twentyhq/twenty,17.0
EveryInc/compound-engineering-plugin,16.0
D4Vinci/Scrapling,16.0
galilai-group/stable-worldmodel,16.0
rtk-ai/rtk,15.0
hardikpandya/stop-slop,15.0
Alishahryar1/free-claude-code,14.0
earendil-works/pi,14.0
Jadoox3/Mina-The-Hollower-Release,14.0
rohitg00/ai-engineering-from-scratch,14.0
cursor/plugins,13.0
firecrawl/firecrawl,13.0
ruvnet/ruflo,13.0
openclaw/openclaw,13.0
anthropics/claude-code,13.0
Imbad0202/academic-research-skills,13.0
nextlevelbuilder/ui-ux-pro-max-skill,13.0
