repo_name,stars
mattpocock/skills,768.0
DietrichGebert/ponytail,611.0
lnkiai/m3e-canvas,543.0
affaan-m/ECC,488.0
tt-a1i/archify,447.0
h4ckf0r0day/obscura,305.0
deepseek-ai/deepseek-harness,289.0
debpalash/VoiceStudio,270.0
blader/humanizer,248.0
magnitudedev/magnitude,235.0
cathrynlavery/diagram-design,231.0
yczz/oc-english,217.0
Bottomaoembody/Any-Unlock,215.0
Eternalrasing/Kms-Pico-For-Win,214.0
public-apis/public-apis,207.0
openJiuwen-ai/jiuwenswarm,201.0
NousResearch/hermes-agent,187.0
anomalyco/opencode,177.0
bilawalsidhu/gods-eye-view,176.0
stablyai/orca,173.0
deeplethe/utopia,172.0
sebbbi/NoGraphicsAPI,159.0
anthropics/skills,157.0
k1tbyte/Wand-Enhancer,156.0
GlowSpiderNumber44/Cinema-4D-For-Win,155.0
Rion-Wu-tech/wechat-intelligence-hub,144.0
THU-MAIC/OpenMAIC,140.0
sapientinc/PRAXIST,139.0
rakanki911/DLSS5-Swapper,136.0
firecrawl/firecrawl,131.0
humanlayer/skills,129.0
diegosouzapw/OmniRoute,128.0
Armorsaintsurvive/Grok-Jailbreak-Prompt,127.0
arcboxlabs/arcbox,126.0
rtk-ai/rtk,125.0
experientiallabs/experiential,123.0
anthropics/fermats-last-theorem,123.0
EvoMap/AutoResearch,121.0
ashemag/human-atlas,115.0
K-Dense-AI/scientific-agent-skills,114.0
sindresorhus/awesome,110.0
obra/superpowers,109.0
NVIDIA/Personal-AI-Router,106.0
JerBouma/FinanceDatabase,104.0
byJoey/warp-masque-actions,101.0
Graphify-Labs/graphify,100.0
BraveOPotato/FckSignups,99.0
vinta/awesome-python,99.0
tigerless-labs/autoharness,98.0
omacom/omarchy,97.0
