repo_name,stars
mvanhorn/last30days-skill,252.0
pewdiepie-archdaemon/odysseus,215.0
Leonxlnx/taste-skill,149.0
RyanCodrai/turbovec,138.0
safishamsi/graphify,120.0
roboflow/supervision,116.0
chopratejas/headroom,114.0
mattpocock/skills,108.0
NousResearch/hermes-agent,107.0
alibaba/open-code-review,104.0
multica-ai/andrej-karpathy-skills,92.0
microsoft/markitdown,89.0
farion1231/cc-switch,83.0
colbymchenry/codegraph,79.0
obra/superpowers,78.0
lfnovo/open-notebook,73.0
XingYu-Zhong/DeepSeek-GUI,71.0
Panniantong/Agent-Reach,71.0
Lum1104/Understand-Anything,69.0
harry0703/MoneyPrinterTurbo,65.0
github/spec-kit,63.0
affaan-m/ECC,58.0
google/skills,52.0
nexu-io/open-design,52.0
Crosstalk-Solutions/project-nomad,51.0
BigPizzaV3/CodexPlusPlus,48.0
santifer/career-ops,47.0
anthropics/defending-code-reference-harness,47.0
devenjarvis/lathe,47.0
TapXWorld/ChinaTextbook,47.0
CopilotKit/CopilotKit,46.0
alchaincyf/huashu-design,46.0
rohitg00/ai-engineering-from-scratch,44.0
aaif-goose/goose,43.0
esengine/DeepSeek-Reasonix,42.0
GyulyVGC/sniffnet,41.0
DigitalPlatDev/FreeDomain,41.0
anthropics/skills,39.0
Renhuai123/ziwei-doushu,39.0
yikart/AiToEarn,39.0
nextlevelbuilder/ui-ux-pro-max-skill,39.0
firecrawl/firecrawl,38.0
anomalyco/opencode,38.0
hyhmrright/brooks-lint,37.0
TauricResearch/TradingAgents,37.0
pbakaus/impeccable,37.0
JimLiu/baoyu-design,35.0
ruvnet/RuView,35.0
NoopApp/noop,34.0
garrytan/gstack,34.0
heygen-com/hyperframes,34.0
AIEraDev/Clypra,33.0
jbiaojerry/ebook-treasure-chest,32.0
V0id-v2/Void-Tools-v2.0,31.0
tashfeenahmed/freellmapi,31.0
opencv/opencv,31.0
openai/plugins,30.0
refactoringhq/tolaria,30.0
rtk-ai/rtk,30.0
Imbad0202/academic-research-skills,30.0
D4Vinci/Scrapling,30.0
