repo_name,stars
vectorize-io/hindsight,27.0
eternity4719/HowToLiveBetter,23.0
paperclipai/paperclip,22.0
NandhaKishorM/laya,13.0
rocketride-org/rocketride-server,12.0
google/ax,11.0
tobi/disktree,10.0
devdotfast/whiteboard,10.0
TypeLLM/TypeLLM,9.0
driceroland/Search,9.0
rohitg00/ai-engineering-from-scratch,9.0
pacifio/atlas,8.0
hydra-db/hydradb,8.0
bilawalsidhu/gods-eye-view,7.0
Contrastive-LM/CLM,7.0
DietrichGebert/ponytail,7.0
tashfeenahmed/freellmapi,7.0
Shadowglidevastate/DiscordFix-YouTube,7.0
spinabot/brigade,7.0
stablyai/orca,7.0
521xueweihan/HelloGitHub,7.0
asokurasu/text-humanizer,6.0
Toothbentweezers/xvsilhuu,6.0
diegosouzapw/OmniRoute,6.0
dream-num/univer,6.0
latent-spaces/brag,6.0
pallavi-shekhar/ai-engineering-interview-questions-company-wise,6.0
NousResearch/hermes-agent,6.0
tt-a1i/archify,6.0
alibaba/open-code-review,6.0
k1tbyte/Wand-Enhancer,6.0
browser-use/jev-ultrafast,6.0
mattpocock/skills,6.0
vastsa/PI-Desktop,5.0
sindresorhus/awesome,5.0
harry0703/MoneyPrinterTurbo,5.0
impossibleG/phorminx,5.0
cloudflare/security-audit-skill,5.0
google/langextract,5.0
codecrafters-io/build-your-own-x,5.0
affaan-m/ECC,5.0
scenario-labs/skills,5.0
yukitorido/short-video-generator-AI,5.0
heygen-com/hyperframes,5.0
dataelement/dsh-desktop,5.0
anthropics/skills,4.0
deepseek-ai/deepseek-harness,4.0
boykopovar/AnyPS5,4.0
tugrawork-creator/saas-motion-kit,4.0
AprilNEA/OpenLogi,4.0
