repo_name,today_stars,avg7,accel
butterbase-ai/butterbase,24.0,0.0,24.0
xiaohu2206/superAIAutoCutVideo,20.0,0.0,20.0
roboflow/supervision,36.0,1.2857142857142858,15.75
XingYu-Zhong/DeepSeek-GUI,51.0,3.5714285714285716,11.15625
baojie/shiji-kb,24.0,1.7142857142857142,8.842105263157894
mvanhorn/last30days-skill,36.0,3.7142857142857144,7.636363636363636
santifer/career-ops,36.0,3.857142857142857,7.411764705882352
harry0703/MoneyPrinterTurbo,26.0,3.142857142857143,6.275862068965518
alibaba/open-code-review,36.0,4.857142857142857,6.146341463414634
RyanCodrai/turbovec,50.0,8.0,5.555555555555555
multica-ai/andrej-karpathy-skills,28.0,4.571428571428571,5.0256410256410255
BigPizzaV3/CodexPlusPlus,21.0,3.2857142857142856,4.9
Panniantong/Agent-Reach,30.0,5.857142857142857,4.375
colbymchenry/codegraph,29.0,6.0,4.142857142857143
safishamsi/graphify,28.0,6.142857142857143,3.92
obra/superpowers,29.0,6.428571428571429,3.9038461538461537
Lum1104/Understand-Anything,25.0,5.428571428571429,3.888888888888889
farion1231/cc-switch,24.0,5.428571428571429,3.7333333333333334
OpenBMB/VoxCPM,25.0,6.285714285714286,3.431372549019608
Leonxlnx/taste-skill,41.0,12.571428571428571,3.0210526315789474
microsoft/markitdown,26.0,7.714285714285714,2.983606557377049
nexu-io/open-design,20.0,5.714285714285714,2.978723404255319
chopratejas/headroom,32.0,10.571428571428571,2.765432098765432
anthropics/defending-code-reference-harness,35.0,11.714285714285714,2.7528089887640452
pewdiepie-archdaemon/odysseus,75.0,30.714285714285715,2.364864864864865
NousResearch/hermes-agent,27.0,15.0,1.6875
