repo_name,today_stars,avg7,accel
OpenBMB/VoxCPM,46.0,2.4285714285714284,13.416666666666668
esengine/DeepSeek-Reasonix,31.0,2.2857142857142856,9.434782608695652
codecrafters-io/build-your-own-x,22.0,1.8571428571428572,7.7
farion1231/cc-switch,28.0,3.0,7.0
multica-ai/andrej-karpathy-skills,37.0,4.857142857142857,6.317073170731708
colbymchenry/codegraph,53.0,7.428571428571429,6.288135593220339
earendil-works/pi,21.0,2.4285714285714284,6.125
Leonxlnx/taste-skill,45.0,7.142857142857143,5.526315789473685
obra/superpowers,32.0,5.428571428571429,4.977777777777778
affaan-m/ECC,27.0,4.571428571428571,4.846153846153847
NousResearch/hermes-agent,20.0,3.2857142857142856,4.666666666666667
harry0703/MoneyPrinterTurbo,68.0,14.714285714285714,4.327272727272727
rohitg00/ai-engineering-from-scratch,22.0,4.142857142857143,4.277777777777778
microsoft/markitdown,34.0,7.0,4.25
Lum1104/Understand-Anything,43.0,9.285714285714286,4.180555555555555
microsoft/Webwright,22.0,4.428571428571429,4.052631578947368
mattpocock/skills,26.0,5.714285714285714,3.872340425531915
byoungd/English-level-up-tips,31.0,7.285714285714286,3.741379310344828
OpenBMB/PilotDeck,20.0,5.142857142857143,3.255813953488372
DigitalPlatDev/FreeDomain,23.0,6.285714285714286,3.156862745098039
