repo_name,stars
xai-org/grok-build,12.0
Fei-Away/Codex-Dream-Skin,9.0
penpot/penpot,5.0
stablyai/orca,5.0
Nutlope/hallmark,4.0
diegosouzapw/OmniRoute,4.0
HenryNdubuaku/maths-cs-ai-compendium,4.0
nitrocloudofficial/nitrostack,4.0
OpenCut-app/OpenCut,4.0
emilkowalski/skills,3.0
Sahir619/fable-method,3.0
multica-ai/andrej-karpathy-skills,3.0
colbymchenry/codegraph,3.0
DitchBreakerWish/FIFA-Ultimate-Editor-,3.0
react/react,3.0
ogulcancelik/herdr,3.0
router-for-me/CLIProxyAPI,3.0
affaan-m/ECC,3.0
QuantumNous/new-api,3.0
mattpocock/skills,3.0
mekos2772/ios-location-spoofer,2.0
Naturalyabraid/FIFA-Database-Editor-Pro,2.0
KytyPS5/KytyPS5,2.0
SigNoz/signoz,2.0
dnshe/DNSHE-FreeDomains,2.0
x4gKing/X4G,2.0
OpenSenseNova/SenseNova-U1,2.0
bytedance/deer-flow,2.0
bojieli/ai-agent-book,2.0
XiaoYouChR/Ghost-Downloader-3,2.0
KubeezMedia/kubeez-scroll-world-video,2.0
codecrafters-io/build-your-own-x,2.0
anomalyco/opencode,2.0
Graphify-Labs/graphify,2.0
nextlevelbuilder/ui-ux-pro-max-skill,2.0
ruvnet/ruflo,2.0
iOfficeAI/OfficeCLI,2.0
DietrichGebert/ponytail,2.0
DNS-0522/Meccha-Phantom-Z,2.0
jnMetaCode/agency-agents-zh,2.0
Blueturboguy07/cue,2.0
karpathy/autoresearch,2.0
XxHuberrr/Mineradio,2.0
anthropics/skills,2.0
nexu-io/open-design,2.0
Yuan1z0825/nature-skills,2.0
upscayl/upscayl,2.0
oven-sh/bun,2.0
rohitg00/ai-engineering-from-scratch,2.0
valqore/valqore,2.0
