repo_name,stars
harry0703/MoneyPrinterTurbo,171.0
Lum1104/Understand-Anything,108.0
colbymchenry/codegraph,105.0
Leonxlnx/taste-skill,95.0
unicity-sphere/sphere-sdk,88.0
microsoft/markitdown,83.0
byoungd/English-level-up-tips,82.0
multica-ai/andrej-karpathy-skills,71.0
obra/superpowers,70.0
DigitalPlatDev/FreeDomain,67.0
mattpocock/skills,66.0
OpenBMB/VoxCPM,63.0
affaan-m/ECC,59.0
OpenBMB/PilotDeck,56.0
microsoft/Webwright,53.0
rohitg00/ai-engineering-from-scratch,51.0
farion1231/cc-switch,49.0
microsoft/SkillOpt,48.0
ruvnet/RuView,47.0
esengine/DeepSeek-Reasonix,47.0
NousResearch/hermes-agent,43.0
nexu-io/open-design,41.0
anthropics/skills,41.0
earendil-works/pi,38.0
run-llama/liteparse,36.0
codecrafters-io/build-your-own-x,35.0
anomalyco/opencode,32.0
nextlevelbuilder/ui-ux-pro-max-skill,30.0
BigPizzaV3/CodexPlusPlus,30.0
