repo_name,today_stars,avg7,accel
elder-plinius/T3MP3ST,29.0,0.2857142857142857,22.555555555555557
Usagi-org/ai-goofish-monitor,20.0,1.0,10.0
openai/codex-plugin-cc,33.0,2.5714285714285716,9.24
firecrawl/firecrawl,31.0,2.4285714285714284,9.041666666666668
Leonxlnx/taste-skill,22.0,2.0,7.333333333333333
langchain-ai/openwiki,35.0,4.285714285714286,6.621621621621622
mattpocock/skills,21.0,2.7142857142857144,5.653846153846153
usestrix/strix,23.0,3.5714285714285716,5.03125
JuliusBrussee/caveman,21.0,3.4285714285714284,4.741935483870967
Zackriya-Solutions/meetily,21.0,3.7142857142857144,4.454545454545454
asgeirtj/system_prompts_leaks,20.0,3.5714285714285716,4.375
