repo_name,today_stars,avg7,accel
Leonxlnx/taste-skill,37.0,2.7142857142857144,9.961538461538462
microsoft/markitdown,28.0,2.0,9.333333333333334
OpenBMB/VoxCPM,31.0,2.7142857142857144,8.346153846153847
farion1231/cc-switch,27.0,2.5714285714285716,7.56
microsoft/pg_durable,28.0,2.7142857142857144,7.538461538461538
mattpocock/skills,23.0,2.7142857142857144,6.1923076923076925
NousResearch/hermes-agent,50.0,7.142857142857143,6.140350877192983
safishamsi/graphify,25.0,3.142857142857143,6.03448275862069
pewdiepie-archdaemon/odysseus,79.0,13.714285714285714,5.368932038834951
anthropics/defending-code-reference-harness,40.0,6.714285714285714,5.185185185185185
colbymchenry/codegraph,24.0,4.0,4.8
alibaba/open-code-review,22.0,3.857142857142857,4.529411764705882
chopratejas/headroom,22.0,4.285714285714286,4.162162162162162
