repo_name,stars
Lum1104/Understand-Anything,213.0
harry0703/MoneyPrinterTurbo,189.0
unicity-sphere/sphere-sdk,150.0
Leonxlnx/taste-skill,130.0
colbymchenry/codegraph,110.0
byoungd/English-level-up-tips,109.0
multica-ai/andrej-karpathy-skills,102.0
rohitg00/ai-engineering-from-scratch,99.0
DigitalPlatDev/FreeDomain,93.0
NousResearch/hermes-agent,78.0
esengine/DeepSeek-Reasonix,72.0
affaan-m/ECC,70.0
nexu-io/open-design,64.0
mattpocock/skills,57.0
obra/superpowers,55.0
farion1231/cc-switch,44.0
hardikpandya/stop-slop,41.0
microsoft/Webwright,40.0
BigPizzaV3/CodexPlusPlus,38.0
firecrawl/firecrawl,37.0
codecrafters-io/build-your-own-x,36.0
microsoft/markitdown,35.0
anthropics/skills,35.0
run-llama/liteparse,34.0
can1357/oh-my-pi,34.0
safishamsi/graphify,33.0
