repo_name,stars
bilawalsidhu/gods-eye-view,349.0
ayghri/i-have-adhd,328.0
umarhadi/fly-hermes,312.0
sanhaji182/gateway_realtime,302.0
randifajar/developer-portfolio,295.0
sitimas9/ghsibudi,284.0
iamzulx/crypto-rag,275.0
rizqinrr/cv,241.0
pallets/flask,215.0
vuejs/vue,161.0
microsoft/vscode,156.0
crestcoursechateau/Acrobat-Pro-Software,151.0
kubernetes/kubernetes,149.0
django/django,145.0
golang/go,145.0
torvalds/linux,143.0
nodejs/node,137.0
python/cpython,135.0
react/react,132.0
github/spec-kit,131.0
rust-lang/rust,129.0
Embertuready/Total-Commander,127.0
VelocityNodeCompute/Universal-Trading-Bot,122.0
watermitecreate/Optimizer-For-Windows,121.0
OnyxConductorSnips/Discord-Raid-Tools,120.0
ghoulformpray/Monero-Miner,120.0
deepseek-ai/deepseek-harness,119.0
tensorflow/tensorflow,119.0
ZeptoFollowerRhythm/Seed-Phrase-Generator-and-Checker,109.0
tt-a1i/archify,105.0
postlayerrespect26/FPS-Booster-for-Wiindows,99.0
cathrynlavery/diagram-design,90.0
DietrichGebert/ponytail,88.0
mattpocock/skills,84.0
diegosouzapw/OmniRoute,76.0
liquidslr/system-design-notes,72.0
MindDyerLink/Canva-Pro,68.0
Edge0-AI/Edge0,67.0
stablyai/orca,64.0
obra/superpowers,60.0
NVlabs/SoL-Pi,58.0
affaan-m/ECC,57.0
amagine-ai/Amagine3D,56.0
google/artemis,56.0
nashsu/llm_wiki,56.0
Tencent/teamai-cli,55.0
k2-fsa/OmniVoice,54.0
sopaco/deepwiki-rs,54.0
experientiallabs/experiential,53.0
ShadeMultiplexer/Boris-FX-Tools,52.0
