repo_name,stars
alibaba/open-code-review,485.0
hypit-ai/hypit,471.0
arnegiacomo/fugleramme,322.0
JustVugg/colibri,269.0
debpalash/VoiceStudio,229.0
abue-ammar/tinycast,218.0
tt-a1i/archify,208.0
eternity4719/HowToLiveBetter,199.0
bilawalsidhu/gods-eye-view,192.0
Tencent/WeKnora,186.0
deepseek-ai/deepseek-harness,180.0
affaan-m/ECC,178.0
deeplethe/utopia,147.0
alphaXiv/OpenResearch,141.0
cloudflare/security-audit-skill,138.0
DietrichGebert/ponytail,136.0
lynote-ai/humanize-text,130.0
NationalSecurityAgency/ghidra,127.0
mattpocock/skills,124.0
ayghri/i-have-adhd,124.0
stablyai/orca,120.0
Lakr233/vphone-cli,113.0
tonhowtf/omniget,113.0
ever-co/ever-gauzy,112.0
bojieli/ai-infra-book,102.0
Taichu-AI/ZDTaichu5.0-9B,102.0
ifixai-ai/iFixAi,102.0
ai-sucks-butt/ai-sucks-butt,100.0
Homebrew/BrewUI,98.0
earendil-works/pi,95.0
jamiepine/voicebox,93.0
blader/humanizer,89.0
Yuan1z0825/nature-skills,87.0
letorig/video-generator-client,87.0
jub0t/Concat,86.0
arcboxlabs/arcbox,84.0
addyosmani/agent-skills,83.0
shadcn-ui/lint,82.0
google/artemis,82.0
microsoft/markitdown,81.0
Panniantong/Agent-Reach,80.0
supremeguardianhoist/Microsoft-Activation-Scripts,78.0
diegosouzapw/OmniRoute,78.0
obra/superpowers,77.0
bojieli/ai-agent-book,76.0
TauricResearch/TradingAgents,76.0
firecrawl/firecrawl,76.0
emilkowalski/skills,74.0
SnailSploit/Claude-Red,73.0
sindresorhus/awesome,72.0
peetzweg/opendisplay,70.0
fleetbase/fleetbase,70.0
tigerless-labs/autoharness,69.0
multimodal-art-projection/YuE,68.0
larashero3-dotcom/lieflat-less-ai-tone,65.0
usestrix/strix,65.0
wilbowes/EchoMuse,64.0
Human-Agent-Society/reef,64.0
public-apis/public-apis,63.0
cathrynlavery/diagram-design,63.0
TencentCloud/Octop,63.0
Mantitup-Org/vista,62.0
melgarafael/DeskcommCRM,60.0
anomalyco/opencode,59.0
miuuyy/codex-chatgpt-web,59.0
milind-soni/OpenMausBot,59.0
NousResearch/hermes-agent,58.0
danny-avila/LibreChat,58.0
volcengine/OpenViking,58.0
block/buzz,56.0
Graphify-Labs/graphify,55.0
mutonby/openshorts,55.0
petergyang/no-ai-slop,55.0
reconurge/flowsint,54.0
nextlevelbuilder/ui-ux-pro-max-skill,54.0
Anakin-Inc/anakin,53.0
MG1937/ASC,53.0
harry0703/MoneyPrinterTurbo,53.0
Rushsheboost/DLSS5-Universal,52.0
CosmosMind-ai/RSI-Harness,52.0
heygen-com/hyperframes,50.0
Leonxlnx/taste-skill,50.0
rakanki911/DLSS5-Swapper,49.0
Mathieu2301/TradingView-API,48.0
msitarzewski/agency-agents,47.0
lovablelabs/oj,46.0
roboflow/supervision,46.0
webadderallorg/Recordly,46.0
pacifio/atlas,45.0
saragordic/window-sweaters,45.0
sapientinc/PRAXIST,44.0
openai/codex,44.0
vinta/awesome-python,43.0
Joooook/12306-mcp,41.0
tigerless-labs/cost-xray,41.0
zgcagi/ZGCM-1,41.0
agentverse-os/AgentVerse-OS,41.0
omacom/omarchy,41.0
666ghj/MiroFish,40.0
iran-px-panel/pxpanel,40.0
koala73/worldmonitor,40.0
dataelement/dsh-desktop,40.0
codecrafters-io/build-your-own-x,40.0
asgeirtj/system_prompts_leaks,40.0
coreyhaines31/marketingskills,40.0
anthropics/skills,40.0
crmne/zapfast,39.0
FSECDEV/Threat-Intelligence-Hackers-Forums,39.0
n8n-io/n8n,39.0
trimstray/the-book-of-secret-knowledge,39.0
github/spec-kit,38.0
datawhalechina/hello-agents,38.0
pgsty/silo,38.0
pbakaus/impeccable,37.0
achimala/dream-loop,37.0
MadsLorentzen/ai-job-search,37.0
ApodexAI/FrontierAgent,37.0
avelino/awesome-go,37.0
THU-MAIC/OpenMAIC,37.0
awesome-selfhosted/awesome-selfhosted,37.0
rtk-ai/rtk,37.0
ruvnet/RuView,36.0
SenteLabsAI/OpenExecutive,36.0
tw93/Mole,36.0
nexu-io/open-design,35.0
herdrdev/herdr,34.0
k1tbyte/Wand-Enhancer,34.0
D4Vinci/Scrapling,34.0
nilbuild/page-mascot,33.0
buggerlogger/arkose-solver,33.0
vorssaint/vorssaint-utils,33.0
multica-ai/andrej-karpathy-skills,33.0
Dpro-at/Tel-Agent,33.0
yt-dlp/yt-dlp,32.0
immich-app/immich,32.0
DeusData/codebase-memory-mcp,32.0
FailproofAI/failproofai,32.0
rustdesk/rustdesk,32.0
Comfy-Org/ComfyUI,31.0
decolua/9router,31.0
XiaoDuoYa/codex-with-chatgpt,31.0
mksglu/context-mode,31.0
AetherLabsAI/RSIAgent,31.0
vastsa/PI-Desktop,31.0
karpathy/autoresearch,31.0
freestylefly/awesome-gpt-image-2,30.0
anywhere-labs/dsh-desktop,30.0
JuliusBrussee/caveman,30.0
Jakubantalik/Libraries.dev,30.0
dnshe/DNSHE-FreeDomains,30.0
