repo_name,stars
bilawalsidhu/gods-eye-view,500.0
ayghri/i-have-adhd,323.0
ScalarLinkAxe/Optimizer-Toolkit,302.0
debpalash/VoiceStudio,294.0
ghoulformpray/Monero-Miner,291.0
google/artemis,223.0
covetradesmanrivet/Acrobat-Reader-Pro,215.0
deepseek-ai/deepseek-harness,211.0
agentrhq/webcmd,210.0
JustVugg/colibri,202.0
tt-a1i/archify,191.0
DietrichGebert/ponytail,156.0
postlayerrespect26/FPS-Booster-for-Wiindows,147.0
03ntity/KomunitasAI,128.0
mattpocock/skills,123.0
affaan-m/ECC,121.0
pitelephantdawn/KMS-Pico-for-Win,121.0
tonhowtf/omniget,121.0
yandanp/Connexio,106.0
jiji262/douyin-downloader,104.0
webadderallorg/Recordly,102.0
microsoft/markitdown,102.0
stablyai/orca,100.0
calesthio/OpenMontage,99.0
EvoMap/AutoResearch,96.0
Zwandiboss08/pose_camera,94.0
melgarafael/DeskcommCRM,89.0
xfathurrahman/tailguard,86.0
josskixg/renjana,85.0
obra/superpowers,84.0
asgeirtj/system_prompts_leaks,83.0
vxcontrol/pentagi,83.0
arcboxlabs/arcbox,83.0
Northwind-Cipher/cool-sdk,76.0
jordan-gibbs/hyperresearch,76.0
alibaba/open-code-review,72.0
NousResearch/hermes-agent,71.0
diegosouzapw/OmniRoute,71.0
k2-fsa/OmniVoice,70.0
zhishile/codex-auth-helper,70.0
sdli1995/dlssg_for_sm86,69.0
MindDyerLink/Canva-Pro,69.0
Feelingeouncouple/Canva-Professional,69.0
firecrawl/firecrawl,67.0
Stringfleproxy/Camtasia-Studio,65.0
alphaXiv/OpenResearch,65.0
nashsu/llm_wiki,64.0
unclecode/crawl4ai,64.0
DefiLeoo/YOINK,64.0
cathrynlavery/diagram-design,63.0
