repo_name,stars
Lum1104/Understand-Anything,240.0
Leonxlnx/taste-skill,168.0
colbymchenry/codegraph,137.0
affaan-m/ECC,124.0
rohitg00/ai-engineering-from-scratch,113.0
multica-ai/andrej-karpathy-skills,108.0
DigitalPlatDev/FreeDomain,102.0
esengine/DeepSeek-Reasonix,92.0
mattpocock/skills,82.0
NousResearch/hermes-agent,78.0
microsoft/Webwright,74.0
obra/superpowers,70.0
byoungd/English-level-up-tips,66.0
farion1231/cc-switch,59.0
earendil-works/pi,54.0
Axorax/awesome-free-apps,52.0
harry0703/MoneyPrinterTurbo,51.0
anthropics/knowledge-work-plugins,51.0
BigPizzaV3/CodexPlusPlus,47.0
tinyhumansai/openhuman,39.0
hardikpandya/stop-slop,39.0
russellromney/honker,38.0
garrytan/gstack,38.0
dinkmededrussia/Cap-Cut-Pro-Version-2026,38.0
nexu-io/open-design,37.0
Imbad0202/academic-research-skills,35.0
anthropics/skills,35.0
microsoft/SkillOpt,33.0
avaoqkyk1284130/Roblox-Collection-Executor-PC-2026-Version,33.0
mukul975/Anthropic-Cybersecurity-Skills,33.0
ruvnet/RuView,32.0
ruvnet/ruflo,31.0
onionking214/Skeet-Gamesense-2026,31.0
joeseesun/wechat-radar,30.0
safishamsi/graphify,30.0
