repo_name,today_stars,avg7,accel
sanhaji182/financial_tracker_planner,206.0,0.0,206.0
rizqinrr/viserys-agent,139.0,0.0,139.0
Sinholms/setup-gateway,127.0,0.0,127.0
GlyphiezKay/NoHoldr,116.0,0.0,116.0
skydashnet/SKYACS,95.0,0.0,95.0
aoripus/easy-for-gaokun,20.0,0.0,20.0
InletBackerTier/SolidWorks-for-Windows,72.0,5.285714285714286,11.454545454545455
TyphoonStalker/Cap-Cut-for-PC,66.0,4.857142857142857,11.26829268292683
yifanzhang-pro/recurrent-looped-tranformer,33.0,2.0,11.0
finlionanger/AutoCad-setup,59.0,4.714285714285714,10.325
ThreadBiomancer/SketchUp-Professional,61.0,5.0,10.166666666666666
Legendaryluwall/Cinema-4D,58.0,4.714285714285714,10.15
HunterLizardStage74/Ads-Blocker-Youtube,59.0,5.0,9.833333333333334
martin-olivier/airgorah,20.0,1.8571428571428572,7.0
HeartNautilusGuide/KMS-Pico,59.0,7.428571428571429,7.0
FollowerOrbStimulate/Photoshop-Extended-for-Windows,21.0,5.714285714285714,3.127659574468085
webadderallorg/Recordly,33.0,14.571428571428571,2.1192660550458715
asgeirtj/system_prompts_leaks,22.0,11.857142857142858,1.711111111111111
jiji262/douyin-downloader,24.0,14.857142857142858,1.5135135135135134
mattpocock/skills,26.0,17.571428571428573,1.4
debpalash/VoiceStudio,58.0,42.0,1.3488372093023255
google/artemis,42.0,31.857142857142858,1.2782608695652173
tt-a1i/archify,34.0,27.285714285714285,1.202020202020202
ScalarLinkAxe/Optimizer-Toolkit,52.0,43.142857142857146,1.1779935275080906
deepseek-ai/deepseek-harness,36.0,30.142857142857142,1.1559633027522935
DietrichGebert/ponytail,26.0,22.285714285714285,1.116564417177914
bilawalsidhu/gods-eye-view,68.0,71.42857142857143,0.9388560157790927
ayghri/i-have-adhd,31.0,46.142857142857146,0.6575757575757575
