repo_name,today_stars,avg7,accel
sapientinc/PRAXIST,64.0,0.2857142857142857,49.777777777777786
arcboxlabs/arcbox,22.0,2.142857142857143,7.0
FormerDesign/SketchUp-Pro,43.0,6.0,6.142857142857143
pennantgradeboom/Microsoft-Office,45.0,6.714285714285714,5.833333333333333
RiverCloudPleat/KMS-Pico-for-Windows,37.0,7.0,4.625
AreaMotorman/Cinema-4d-,39.0,7.571428571428571,4.55
deeplethe/utopia,27.0,5.0,4.5
SerpentFlamingo/Windows-Optimizer,36.0,7.0,4.5
CurrentStationWeb/AD-Blocker-for-Windows,38.0,7.571428571428571,4.433333333333334
Tencent/WeKnora,44.0,9.428571428571429,4.219178082191781
WatchDisplayPergola/Microsoft-365,36.0,7.571428571428571,4.2
convergewandmooring/Discord-Quest-Completer,36.0,7.714285714285714,4.131147540983606
Starbenhallway33/Better-Discord,39.0,9.0,3.9
SleuthOverpass/Discord-Server-Raider,36.0,8.428571428571429,3.818181818181818
TencentCloud/Octop,20.0,4.285714285714286,3.7837837837837838
crestofficialravage/Discord-Nitro-Generator,31.0,7.571428571428571,3.6166666666666667
VampireHammer/Canva-Pro,30.0,7.571428571428571,3.5
Knitibnadapter/IOBIT-Driver-Booster,31.0,8.142857142857142,3.390625
Megatridemolish/AnyUnlock,27.0,7.428571428571429,3.2033898305084745
CoastAreaBlade64/AutoCad,28.0,8.714285714285714,2.882352941176471
bilawalsidhu/gods-eye-view,37.0,12.0,2.8461538461538463
DeerComplete/Acrobat-Reader-Pro,30.0,9.857142857142858,2.763157894736842
SpiritCooperJerk/Microsoft-Visio,28.0,9.571428571428571,2.6486486486486487
eternity4719/HowToLiveBetter,31.0,12.428571428571429,2.3085106382978724
deepseek-ai/deepseek-harness,31.0,12.714285714285714,2.260416666666667
alibaba/open-code-review,83.0,37.285714285714285,2.167910447761194
cloudflare/security-audit-skill,61.0,27.571428571428573,2.135
hypit-ai/hypit,63.0,30.714285714285715,1.9864864864864864
DietrichGebert/ponytail,27.0,12.714285714285714,1.96875
Tencent/BrowserSkill,27.0,13.142857142857142,1.9090909090909092
stablyai/orca,20.0,10.428571428571429,1.75
tt-a1i/archify,27.0,14.571428571428571,1.7339449541284404
latent-spaces/brag,20.0,16.857142857142858,1.1199999999999999
ai-sucks-butt/ai-sucks-butt,20.0,18.285714285714285,1.0370370370370372
